accession	taxid	species_name	assembly_level	method	sequencing_technology	submission_date	number_of_contigs	number_of_scaffolds	contig_n50	scaffold_n50
GCA_032353075.1	204063	Tyrannus caudifasciatus	Scaffold	SPAdes v. 2023	Illumina	2023-03-28T15:42:04.723	368490	57811	4403	1549615
GCA_030265395.1	3025902	Rhina ancylostomus	Scaffold	SPAdes v. 2023	Illumina	2023-02-03T16:22:04.856	642157	65984	4392	85651741
GCA_040967675.1	543873	Glaucidium cuculoides	Scaffold	SPAdes v. 2024	Illumina	2024-05-02T09:42:04.517	395486	78362	4344	45877457
GCA_040966495.1	75854	Anas poecilorhyncha	Scaffold	SPAdes v. 2024	Illumina	2024-03-08T11:33:03.833	372867	22427	4090	65612328
GCA_049180615.1	390428	Pareutropius debauwi	Scaffold	SPAdes v. 2025	Illumina	2025-01-31T12:03:04.247	462852	341989	4081	19805358
GCA_037974425.1	42486	Phenacogrammus interruptus	Scaffold	SPAdes v. 2024	Illumina	2024-02-27T09:19:04.630	364710	296568	3725	6407
GCA_043109815.1	364078	Algansea lacustris	Scaffold	SPAdes v. 2024	Illumina	2024-07-20T17:42:03.830	863878	771850	3698	137646
GCA_037177075.1	613161	Craterocephalus fluviatilis	Scaffold	SPAdes v. 2024	Illumina	2023-12-02T11:12:05.470	245970	112005	3678	26002992
GCA_025447895.1	1356036	Butastur liventer	Scaffold	SPAdes v. 2022	Illumina	2022-03-11T14:24:31.456	486873	52444	3539	35144932
GCA_036250565.1	1070323	Sibynophis collaris	Scaffold	SPAdes v. 2022	Illumina	2021-12-18T08:05:13.736	669060	459228	3504	84221
GCA_030324005.1	7821	Negaprion brevirostris	Scaffold	SPAdes v. 2023	Illumina	2023-02-04T09:48:03.733	903385	96185	3446	92870326
GCA_049181455.1	218819	Gazza minuta	Scaffold	SPAdes v. 2025	Illumina	2025-01-30T09:59:04.020	492921	384013	3214	17694348
GCA_043109885.1	302529	Zanda funerea	Scaffold	SPAdes v. 2024	Illumina	2024-06-09T11:23:04.277	1274592	1007537	3140	14059
GCA_041723685.1	316163	Nematalosa erebi	Scaffold	SPAdes v. 2024	Illumina	2023-12-02T11:12:05.650	474791	432030	3119	4646
GCA_029814745.1	75044	Zanclus cornutus	Scaffold	SPAdes v. 2022	Illumina	2022-12-19T12:59:03.483	289716	123868	3023	24920965
GCA_027122455.1	27722	Trisopterus luscus	Scaffold	SPAdes v. 2021	Illumina	2020-07-11T11:30:04.456	224929	76447	3016	20572751
GCA_037176995.1	443752	Bidyanus bidyanus	Scaffold	SPAdes v. 2024	Illumina	2023-12-02T11:12:06.313	221750	7859	3010	26976407
GCA_034780895.1	335006	Rhynchobatus australiae	Scaffold	SPAdes v. 2023	Illumina	2023-04-04T09:14:03.797	850271	81522	2963	92512169
GCA_027560375.1	121343	Imantodes cenchoa	Scaffold	SPAdes v. 2022	Illumina	2021-12-18T08:05:13.620	830518	605251	2902	52356
GCA_049180915.1	86377	Taeniura lymma	Scaffold	SPAdes v. 2025	Illumina	2025-02-01T11:29:03.713	1529604	385705	2655	140012706
GCA_027576755.1	2364092	Chamaetylas poliocephala	Scaffold	SPAdes v. 2022	Illumina	2021-10-11T13:27:04.270	767185	281486	2636	64078424
GCA_047404335.1	33586	Mycteria ibis	Scaffold	SPAdes v. 2024	Illumina	2024-09-22T07:21:03.977	513557	60395	2524	38574247
GCA_025727895.1	387835	Melierax metabates	Scaffold	SPAdes v. 2021	Illumina	2021-10-29T18:47:26.780	531991	8424	2374	39048327
GCA_041045025.1	501720	Thryssa baelama	Scaffold	SPAdes v. 2024	Illumina	2023-12-02T11:12:05.957	617217	531607	2341	5732
GCA_027574745.1	1198624	Occidentarius platypogon	Scaffold	SPAdes v. 2021	Illumina	2021-09-29T08:12:04.483	596684	128373	2161	57515776
GCA_025629765.1	8047	Eleginus gracilis	Scaffold	SPAdes v. 2021	Illumina	2020-07-11T11:23:04.163	267276	52317	2114	20815831
GCA_032466625.1	1238232	Psittacara rubritorquis	Scaffold	SPAdes v. 2023	Illumina	2023-05-16T10:01:35.393	543640	167616	2063	17747
GCA_047404715.1	365052	Spratelloides gracilis	Scaffold	SPAdes v. 2024	Illumina	2024-12-26T13:47:03.537	774682	736306	2009	2258
GCA_034783695.1	529116	Sardinella gibbosa	Scaffold	SPAdes v. 2023	Illumina	2023-04-04T10:36:04.807	437885	332142	1963	7054
GCA_035592055.1	321058	Phalcoboenus megalopterus	Scaffold	SPAdes v. 2023	Illumina	2023-08-13T17:15:05.823	596023	22754	1898	61227580
GCA_046270505.1	84782	Quiscalus quiscula	Scaffold	SPAdes v. 2024	Illumina	2024-09-22T07:04:03.647	851412	834461	1835	1887
GCA_034782095.1	345163	Falco jugger	Scaffold	SPAdes v. 2023	Illumina	2023-08-17T12:23:03.986	623088	12989	1713	37509937
GCA_032466295.1	69957	Forpus passerinus	Scaffold	SPAdes v. 2023	Illumina	2021-04-24T13:29:04.087	603224	171283	1617	17265
GCA_049180935.1	651723	Pteroplatytrygon violacea	Scaffold	SPAdes v. 2025	Illumina	2025-02-01T11:29:03.617	2192095	291068	1585	148181254
GCA_030264355.1	392307	Sardinella lemuru	Scaffold	SPAdes v. 2023	Illumina	2023-04-04T10:33:03.697	314117	234306	1407	31529
GCA_034782235.1	495939	Falco dickinsoni	Scaffold	SPAdes v. 2023	Illumina	2023-08-13T17:03:03.480	700639	13919	1333	59067593
GCA_031763465.1	263718	Squatina squatina	Scaffold	SPAdes v. 2023	Illumina	2023-02-03T18:25:04.486	1378317	1152659	1057	1346
GCA_035582915.1	324346	Necturus beyeri	Scaffold	SPAdes v. 2023	Illumina	2023-09-06T14:35:03.630	251838	249596	1039	1042
GCA_032353195.1	121427	Tyrannus melancholicus	Scaffold	SPAdes v. 2023	Illumina	2023-03-28T17:14:04.156	543404	322	1037	58934510
GCA_034781615.1	495938	Falco ardosiaceus	Scaffold	SPAdes v. 2023	Illumina	2023-06-18T19:45:51.303	676548	13463	979	62677164
GCA_036873835.1	1162387	Crypturellus boucardi	Scaffold	SPAdes v. 2023	Illumina	2023-09-11T18:40:10.027	2174555	2160382	920	930
GCA_035583255.1	134762	Pseudotriton ruber	Scaffold	SPAdes v. 2023	Illumina	2023-09-06T14:09:03.263	905545	896899	872	876
GCA_035583035.1	332575	Eurycea cirrigera	Scaffold	SPAdes v. 2023	Illumina	2023-09-06T14:19:03.923	813928	799289	839	845
GCA_030265035.1	52108	Desmognathus wrighti	Scaffold	SPAdes v. 2023	Illumina	2023-04-13T13:03:03.587	1347155	1323189	838	845
GCA_035591995.1	291263	Stereochilus marginatus	Scaffold	SPAdes v. 2023	Illumina	2023-08-19T11:07:03.223	986302	930349	832	852
GCA_033118305.1	3064033	Desmognathus campi	Scaffold	SPAdes v. 2023	Illumina	2023-08-19T12:11:03.403	1081147	1030184	816	833
GCA_031762335.1	232655	Psittacula eupatria	Scaffold	SPAdes v. 2023	Illumina	2022-12-24T15:12:22.593	417283	159382	797	16896
GCA_036873585.1	54559	Spinus psaltria	Scaffold	SPAdes v. 2023	Illumina	2023-05-31T09:12:45.170	1585160	446866	677	17579406
GCA_032274585.2	372372	Tyrannus vociferans	Scaffold	SPAdes v. 2024	Illumina	2023-02-04T08:20:05.063	1208662	86734	659	32466042
GCA_038406705.1	134758	Eurycea bislineata	Scaffold	SPAdes v. 2023	Illumina	2023-08-19T09:06:03.533	5418484	5355787	376	383
GCA_034783915.1	60467	Agapornis pullarius	Scaffold	SPAdes v. 2023	Illumina	2023-07-23T12:31:04.123	3591281	3589823	366	366
GCA_032357765.1	152277	Amazona auropalliata	Scaffold	SPAdes v. 2023	Illumina	2023-05-16T10:01:35.173	1628102	926220	352	4152
GCA_035048385.1	43042	Plethodon glutinosus	Scaffold	SPAdes v. 2023	Illumina	2023-08-19T11:48:03.650	4939736	4910792	352	355
GCA_032354935.1	232641	Psittacula roseata	Scaffold	SPAdes v. 2023	Illumina	2023-05-16T10:01:35.423	1697424	1196366	299	13848
GCA_032360045.1	57393	Amazona ventralis	Scaffold	SPAdes v. 2023	Illumina	2023-05-16T10:01:35.243	2893076	2525461	277	1182
GCA_047404375.1	84099	Paleosuchus palpebrosus	Scaffold	SPAdes v. 2024	Illumina	2024-09-08T11:48:04.460	401359	400364	274	275
GCA_028565875.1	3394343	Hoplisoma paleatum	Scaffold	SPAdes v. 2021	Illumina	2021-07-28T11:46:05.803	142073	129744	5299	6083
GCA_029890015.1	345747	Leucopternis lacernulatus	Scaffold	SPAdes v. 2022	Illumina	2022-12-24T10:02:03.760	393244	11953	3501	40052610
GCA_026770365.1	321134	Harpyhaliaetus coronatus	Scaffold	SPAdes v. 2022	Illumina	2021-10-16T12:33:03.890	520384	13830	2394	37477071
GCA_027497775.1	387799	Accipiter melanochlamys	Scaffold	SPAdes v. 2022	Illumina	2021-10-29T18:47:26.466	637	449	17712854	35025567
GCA_035584735.1	2765847	Pseudotriccus pelzelni	Scaffold	SPAdes v. 2023	Illumina	2023-08-21T14:54:04.117	46148	16470	79060	69205668
GCA_035222235.1	183167	Margarornis squamiger	Scaffold	SPAdes v. 2023	Illumina	2023-08-21T14:54:03.967	49371	21974	78901	73085388
GCA_035582745.1	3150946	Loriotus luctuosus	Scaffold	SPAdes v. 2023	Illumina	2023-08-21T14:54:04.156	59482	17064	72907	71463017
GCA_035583185.1	586367	Anabacerthia variegaticeps	Scaffold	SPAdes v. 2023	Illumina	2023-08-21T14:54:03.760	54499	21811	70555	72092792
GCA_041107895.1	94620	Stiphrornis xanthogaster	Scaffold	SPAdes v. 2024	Illumina	2024-06-08T15:51:04.933	47255	14835	69975	70550583
GCA_035221455.1	255386	Xenops minutus	Scaffold	SPAdes v. 2023	Illumina	2023-08-21T14:54:04.193	46362	16751	68880	72292265
GCA_035584835.1	256431	Tangara arthus	Scaffold	SPAdes v. 2023	Illumina	2023-08-21T14:54:04.170	62151	16144	64778	73231758
GCA_032361245.1	163849	Serinus canicollis	Scaffold	SPAdes v. 2023	Illumina	2023-05-31T09:12:44.353	62448	13497	62217	61468598
GCA_046118055.1	3118905	Phalloptychus iheringii	Scaffold	SPAdes v. 2024	Illumina	2024-08-24T08:08:04.287	37921	18787	61586	27299416
GCA_035221435.1	3050619	Sphenopsis melanotis	Scaffold	SPAdes v. 2023	Illumina	2023-08-21T14:54:04.127	63818	17585	61549	72717942
GCA_032165255.1	75879	Speculanas specularis	Scaffold	SPAdes v. 2023	Illumina	2023-06-06T18:28:04.873	48225	9878	58848	80038540
GCA_035584875.1	1094534	Syndactyla subalaris	Scaffold	SPAdes v. 2023	Illumina	2023-08-21T14:54:04.147	53214	20502	57184	73235165
GCA_035041385.1	1851190	Myiothlypis coronata	Scaffold	SPAdes v. 2023	Illumina	2023-08-21T14:54:04.037	283964	232629	55766	71818747
GCA_041107815.1	374622	Criniger chloronotus	Scaffold	SPAdes v. 2024	Illumina	2024-06-09T13:54:24.410	67506	21182	53131	71422152
GCA_035583155.1	589933	Acropternis orthonyx	Scaffold	SPAdes v. 2023	Illumina	2023-08-21T14:54:03.747	65749	24676	51881	72219764
GCA_035047865.1	261817	Dendrocincla tyrannina	Scaffold	SPAdes v. 2023	Illumina	2023-08-21T14:54:03.877	73648	29791	51069	70116108
GCA_035222195.1	182939	Myioborus miniatus	Scaffold	SPAdes v. 2023	Illumina	2023-08-21T14:54:04.017	78686	27345	50844	71262809
GCA_032165235.1	75873	Lophonetta specularioides	Scaffold	SPAdes v. 2023	Illumina	2023-06-06T18:22:04.700	55452	12290	50151	79729295
GCA_035584755.1	644990	Thripadectes ignobilis	Scaffold	SPAdes v. 2023	Illumina	2023-08-21T14:54:04.180	58636	22262	49885	72911492
GCA_047291775.1	3150083	Lophoceros bradfieldi	Scaffold	SPAdes v. 2024	Illumina	2024-10-25T08:28:05.010	49614	8150	48457	39404199
GCA_037834095.1	1156349	Argya squamiceps	Scaffold	SPAdes v. 2024	Illumina	2024-02-07T13:33:04.037	159843	116104	48384	72073535
GCA_046766055.1	153646	Tockus monteiri	Scaffold	SPAdes v. 2024	Illumina	2024-10-25T08:28:05.113	50436	8088	48205	39272746
GCA_035583215.1	65378	Arremon brunneinucha	Scaffold	SPAdes v. 2023	Illumina	2023-08-21T14:54:03.797	84386	28855	47908	71858246
GCA_026212995.1	321094	Leucopternis kuhli	Scaffold	SPAdes v. 2022	Illumina	2021-10-16T16:00:07.326	54933	6885	45635	36513881
GCA_049180555.1	45638	Tadorna tadornoides	Scaffold	SPAdes v. 2025	Illumina	2025-01-26T07:37:04.377	197879	150438	45327	75739459
GCA_047292275.1	1303313	Tockus jacksoni	Scaffold	SPAdes v. 2024	Illumina	2024-10-25T08:28:05.093	78741	20731	44771	24931242
GCA_040967875.1	570454	Muscicapa olivascens	Scaffold	SPAdes v. 2024	Illumina	2024-06-09T13:54:24.470	71996	22542	44589	70763712
GCA_035040975.1	328439	Myioborus melanocephalus	Scaffold	SPAdes v. 2023	Illumina	2023-08-21T14:54:04.003	87889	29897	44274	71912697
GCA_047291695.1	175832	Ceratogymna atrata	Scaffold	SPAdes v. 2024	Illumina	2024-10-25T08:28:04.977	58735	13765	44250	37358002
GCA_038382005.1	75863	Spatula versicolor	Scaffold	SPAdes v. 2024	Illumina	2024-03-08T11:33:03.910	148659	99593	43300	75993314
GCA_035047985.1	182906	Basileuterus tristriatus	Scaffold	SPAdes v. 2023	Illumina	2023-08-21T14:54:03.807	70668	16903	43083	72147884
GCA_034781315.1	993370	Accipiter madagascariensis	Scaffold	SPAdes v. 2023	Illumina	2023-08-13T17:06:03.723	70552	8636	42949	36033406
GCA_032165215.1	75835	Anas bernieri	Scaffold	SPAdes v. 2023	Illumina	2023-06-06T18:17:06.247	65551	14322	42853	80193075
GCA_035047745.1	194941	Catamblyrhynchus diadema	Scaffold	SPAdes v. 2023	Illumina	2023-08-21T14:54:03.817	78056	14845	42847	72036717
GCA_049176575.1	8871	Dendrocygna arborea	Scaffold	SPAdes v. 2025	Illumina	2025-01-26T07:48:03.887	93282	44754	42527	77598070
GCA_035590315.1	252787	Hieraaetus wahlbergi	Scaffold	SPAdes v. 2023	Illumina	2023-08-17T08:41:06.030	58768	6629	42478	36523969
GCA_025435075.1	223475	Buteo lineatus	Scaffold	SPAdes v. 2022	Illumina	2022-03-11T14:24:31.480	99323	44363	42301	33451961
GCA_038442615.1	56348	Daptrius ater	Scaffold	SPAdes v. 2023	Illumina	2023-08-13T17:19:03.643	77677	11084	42238	92129368
GCA_040967735.1	438837	Otus rutilus	Scaffold	SPAdes v. 2024	Illumina	2024-05-02T08:28:04.280	83636	39089	42184	49082711
GCA_049180595.1	107024	Tadorna variegata	Scaffold	SPAdes v. 2025	Illumina	2025-01-26T07:42:03.517	87007	34234	42084	75608272
GCA_035040995.1	329506	Premnoplex brunnescens	Scaffold	SPAdes v. 2023	Illumina	2023-08-21T14:54:04.097	69115	24441	41809	73282146
GCA_029814765.1	1828454	Acanthurus leucopareius	Scaffold	SPAdes v. 2022	Illumina	2022-12-19T12:59:03.353	39331	17270	41786	15294572
GCA_035041235.1	873197	Myiothlypis chrysogaster	Scaffold	SPAdes v. 2023	Illumina	2023-08-21T14:54:04.027	90344	28852	41671	71670931
GCA_047291805.1	3150927	Horizocerus hartlaubi	Scaffold	SPAdes v. 2024	Illumina	2024-10-25T08:28:05.073	71259	21030	41247	39217225
GCA_025310135.1	218281	Buteo platypterus	Scaffold	SPAdes v. 2022	Illumina	2021-10-16T16:53:03.600	69109	10644	41170	36168614
GCA_036026055.1	54777	Spinus crassirostris	Scaffold	SPAdes v. 2023	Illumina	2023-05-31T09:12:44.910	78072	16627	40957	71497810
GCA_046269285.1	1482674	Cercococcyx olivinus	Scaffold	SPAdes v. 2024	Illumina	2024-06-08T09:12:05.483	80009	20771	40702	76098482
GCA_038381655.1	658927	Tachyeres patachonicus	Scaffold	SPAdes v. 2024	Illumina	2024-03-08T11:33:03.920	116933	59908	40679	75153721
GCA_041107915.1	208082	Parmoptila jamesoni	Scaffold	SPAdes v. 2024	Illumina	2024-06-09T13:54:24.537	70978	19048	40403	71193495
GCA_047292255.1	153645	Tockus leucomelas	Scaffold	SPAdes v. 2024	Illumina	2024-10-25T08:28:05.103	113509	56275	40023	26298369
GCA_027475485.1	387794	Accipiter fasciatus	Scaffold	SPAdes v. 2022	Illumina	2021-10-16T17:20:04.140	351392	287220	39943	32928445
GCA_040967855.1	570459	Terpsiphone rufiventer	Scaffold	SPAdes v. 2024	Illumina	2024-06-09T13:54:24.493	78133	25152	39818	72491534
GCA_035048045.1	166066	Chlorospingus semifuscus	Scaffold	SPAdes v. 2023	Illumina	2023-08-21T14:54:03.837	70214	15193	39789	72021519
GCA_035221675.1	3046608	Spatula smithii	Scaffold	SPAdes v. 2023	Illumina	2023-07-23T11:08:05.553	249090	194113	39641	74908865
GCA_034782455.1	387795	Accipiter francesiae	Scaffold	SPAdes v. 2023	Illumina	2023-08-13T17:43:04.133	78944	8627	39534	36099245
GCA_034779795.1	2893481	Ctenopoma multispine	Scaffold	SPAdes v. 2023	Illumina	2023-01-01T10:35:19.383	40227	19410	39515	22116953
GCA_047291955.1	458195	Lophoceros camurus	Scaffold	SPAdes v. 2024	Illumina	2024-10-25T08:28:04.987	79448	26048	39057	37627678
GCA_038381965.1	75867	Amazonetta brasiliensis	Scaffold	SPAdes v. 2024	Illumina	2024-03-08T11:33:03.757	124417	68569	38439	75223119
GCA_025310495.1	387842	Harpagus bidentatus	Scaffold	SPAdes v. 2022	Illumina	2021-10-16T17:44:03.123	73582	9806	37210	36473192
GCA_035047845.1	183179	Dendrocincla fuliginosa	Scaffold	SPAdes v. 2023	Illumina	2023-08-21T14:54:03.867	84499	33025	37189	70894503
GCA_026937345.1	56263	Buteo jamaicensis	Scaffold	SPAdes v. 2022	Illumina	2021-10-16T16:08:03.953	73466	9454	36790	36185665
GCA_038442595.1	387808	Aerospiza tachiro	Scaffold	SPAdes v. 2023	Illumina	2023-08-13T17:23:03.376	83687	9158	36644	36528849
GCA_035048185.1	1851192	Cinnycerthia unirufa	Scaffold	SPAdes v. 2023	Illumina	2023-08-21T14:54:03.857	89494	25280	36603	70738492
GCA_027559655.1	56255	Accipiter superciliosus	Scaffold	SPAdes v. 2022	Illumina	2022-03-11T14:24:31.356	82749	19262	36561	36337749
GCA_025448155.1	141834	Cacatua ducorpsii	Scaffold	SPAdes v. 2022	Illumina	2021-04-03T18:03:17.796	303483	272682	36413	44752
GCA_027580095.1	2709557	Circus hudsonius	Scaffold	SPAdes v. 2022	Illumina	2022-02-13T09:08:03.673	67173	6759	36350	36252255
GCA_037833715.1	490289	Toxotes lorentzi	Scaffold	SPAdes v. 2023	Illumina	2023-12-02T11:12:06.357	56115	28673	36243	23766699
GCA_032274745.1	37600	Carduelis carduelis	Scaffold	SPAdes v. 2023	Illumina	2023-04-04T09:37:06.290	76395	13829	35533	72471425
GCA_024606505.1	1848762	Aquila spilogaster	Scaffold	SPAdes v. 2021	Illumina	2021-10-15T12:20:03.890	73354	8264	35336	54099077
GCA_047291875.1	3150084	Tockus fasciatus	Scaffold	SPAdes v. 2024	Illumina	2024-10-25T08:28:05.050	62532	8911	35295	39201706
GCA_041108035.1	107235	Trochocercus nitens	Scaffold	SPAdes v. 2024	Illumina	2024-06-08T15:51:04.957	287524	233620	35292	73187576
GCA_036026295.1	285239	Spinus olivaceus	Scaffold	SPAdes v. 2023	Illumina	2023-05-31T09:12:45.037	91354	23901	35290	71518970
GCA_028567095.1	2219150	Accipiter rufitorques	Scaffold	SPAdes v. 2022	Illumina	2021-10-29T18:47:26.490	68990	6447	35114	36629791
GCA_027564655.1	321080	Leptodon cayanensis	Scaffold	SPAdes v. 2022	Illumina	2021-10-16T15:56:03.710	78462	11045	35040	36438466
GCA_049180735.1	1206912	Ambassis urotaenia	Scaffold	SPAdes v. 2025	Illumina	2025-01-30T09:59:04.250	57245	34594	34889	20287447
GCA_027475465.1	252785	Hieraaetus morphnoides	Scaffold	SPAdes v. 2021	Illumina	2022-05-04T06:28:03.746	76995	9616	34851	36635095
GCA_049176295.1	279951	Lophodytes cucullatus	Scaffold	SPAdes v. 2025	Illumina	2025-02-01T14:17:04.803	104330	43816	34452	75505413
GCA_047291665.1	3150082	Tockus alboterminatus	Scaffold	SPAdes v. 2024	Illumina	2024-10-25T08:28:05.000	65999	10153	34396	39193042
GCA_046118275.1	3001649	Phalloceros buckupi	Scaffold	SPAdes v. 2024	Illumina	2024-08-24T08:08:04.260	63236	30782	34251	29555493
GCA_035584715.1	190292	Xiphorhynchus erythropygius	Scaffold	SPAdes v. 2023	Illumina	2023-08-21T14:54:04.207	89091	33665	34186	72687495
GCA_041108375.1	1162391	Vireo hypochryseus	Scaffold	SPAdes v. 2024	Illumina	2024-06-09T10:16:04.363	178759	113516	34017	73293257
GCA_032359275.1	3016806	Microctenopoma steveboyesi	Scaffold	SPAdes v. 2023	Illumina	2023-01-01T10:35:19.360	74429	52706	33994	19357067
GCA_025802315.1	252783	Hieraaetus ayresii	Scaffold	SPAdes v. 2022	Illumina	2022-03-11T14:24:31.666	188351	121417	33879	34060800
GCA_025504725.1	43465	Circaetus gallicus	Scaffold	SPAdes v. 2022	Illumina	2022-05-03T19:22:04.476	76005	11097	33504	36337325
GCA_030265285.1	274074	Cacatua sanguinea	Scaffold	SPAdes v. 2023	Illumina	2023-02-03T18:32:04.396	91193	22772	33449	98557242
GCA_025435035.1	345744	Cryptoleucopteryx plumbea	Scaffold	SPAdes v. 2022	Illumina	2022-03-11T14:24:31.556	114773	41536	33226	36493104
GCA_049176335.1	45642	Nettapus pulchellus	Scaffold	SPAdes v. 2025	Illumina	2025-02-01T14:17:04.470	123338	61029	33089	76177608
GCA_040966455.1	3150535	Spatula puna	Scaffold	SPAdes v. 2024	Illumina	2024-03-08T11:33:03.896	179838	115357	32761	74919736
GCA_034781495.1	993371	Accipiter minullus	Scaffold	SPAdes v. 2023	Illumina	2023-08-13T16:29:03.370	94259	9698	32620	36205666
GCA_046118235.1	2715055	Phalloceros spiloura	Scaffold	SPAdes v. 2024	Illumina	2024-08-24T08:08:04.273	91520	56230	32491	27680156
GCA_041045045.1	107234	Elminia nigromitrata	Scaffold	SPAdes v. 2024	Illumina	2024-06-08T15:51:04.583	515083	459088	32485	71327542
GCA_026770195.1	387821	Circus approximans	Scaffold	SPAdes v. 2022	Illumina	2021-10-29T18:47:26.670	89546	7703	32448	33845453
GCA_041107855.1	450164	Dicrurus atripennis	Scaffold	SPAdes v. 2024	Illumina	2024-06-09T13:54:24.503	77131	18962	32357	72891703
GCA_048604525.1	8873	Dendrocygna autumnalis	Scaffold	SPAdes v. 2025	Illumina	2025-02-01T14:17:04.847	128621	68338	31645	66240164
GCA_037177315.1	1085684	Hephaestus fuliginosus	Scaffold	SPAdes v. 2024	Illumina	2023-12-02T11:12:06.337	68912	31875	31356	25513677
GCA_035590195.1	258819	Aviceda cuculoides	Scaffold	SPAdes v. 2023	Illumina	2023-08-13T17:27:03.507	72459	4964	31108	36400431
GCA_027564695.1	371914	Ictinia mississippiensis	Scaffold	SPAdes v. 2022	Illumina	2021-10-16T17:37:03.393	91494	16431	31086	36136030
GCA_038406055.1	75845	Anas flavirostris	Scaffold	SPAdes v. 2024	Illumina	2024-03-08T11:33:03.823	286747	194180	30953	75318589
GCA_046766075.1	175819	Tockus deckeni	Scaffold	SPAdes v. 2024	Illumina	2024-10-25T08:28:05.020	85732	14244	30912	39430287
GCA_035048125.1	330682	Diglossa cyanea	Scaffold	SPAdes v. 2023	Illumina	2023-08-21T14:54:03.887	106760	21151	30484	72738589
GCA_025727755.1	387806	Accipiter soloensis	Scaffold	SPAdes v. 2022	Illumina	2021-10-29T18:47:26.503	84319	8521	30453	36160942
GCA_032361365.1	2201931	Spinus pinus	Scaffold	SPAdes v. 2023	Illumina	2023-05-31T09:12:45.103	115034	37223	30318	70638963
GCA_025308975.1	518696	Accipiter rufiventris	Scaffold	SPAdes v. 2022	Illumina	2021-10-16T11:56:03.183	92471	13562	29871	36527978
GCA_034509185.1	1105365	Euphonia xanthogaster	Scaffold	SPAdes v. 2023	Illumina	2023-08-21T14:54:03.900	99052	15517	29713	71743294
GCA_046269305.1	3118897	Cnesterodon brevirostratus	Scaffold	SPAdes v. 2024	Illumina	2024-08-24T08:08:04.337	74730	35834	29221	27750324
GCA_032357605.1	658925	Tachyeres brachypterus	Scaffold	SPAdes v. 2023	Illumina	2023-05-28T09:32:05.117	80449	10432	29025	79483301
GCA_041108395.1	1002898	Terpsiphone rufocinerea	Scaffold	SPAdes v. 2024	Illumina	2024-06-08T15:51:04.943	431402	366981	28858	73300378
GCA_049176255.1	75871	Callonetta leucophrys	Scaffold	SPAdes v. 2025	Illumina	2025-02-01T14:17:04.867	146653	76740	28540	75627000
GCA_028564985.1	84988	Crax fasciolata	Scaffold	SPAdes v. 2022	Illumina	2022-03-11T14:24:31.543	91940	26235	28481	93497347
GCA_035048155.1	1314640	Cinnycerthia olivascens	Scaffold	SPAdes v. 2023	Illumina	2023-08-21T14:54:03.847	106966	28075	28274	61886542
GCA_034782635.1	223853	Buteo brachyurus	Scaffold	SPAdes v. 2023	Illumina	2023-08-16T16:08:04.257	102120	7001	28219	36440485
GCA_027575165.1	224668	Buteogallus aequinoctialis	Scaffold	SPAdes v. 2022	Illumina	2021-10-16T15:47:03.266	109608	12390	27633	36497993
GCA_027497695.1	993364	Aerospiza castanilius	Scaffold	SPAdes v. 2022	Illumina	2021-10-16T17:03:03.730	126219	42566	27461	36192315
GCA_034782655.1	1042132	Micrastur ruficollis	Scaffold	SPAdes v. 2023	Illumina	2023-08-19T17:22:04.195	103849	12132	27422	91902960
GCA_025727795.1	223496	Buteogallus meridionalis	Scaffold	SPAdes v. 2022	Illumina	2022-03-11T14:24:31.506	99605	6332	27383	36502156
GCA_026213075.1	252796	Spizaetus ornatus	Scaffold	SPAdes v. 2022	Illumina	2021-10-16T16:49:03.533	99440	7749	27129	36543446
GCA_034782575.1	671078	Brotogeris tirica	Scaffold	SPAdes v. 2023	Illumina	2023-08-17T13:20:09.403	83384	59625	27123	38232
GCA_028567075.1	58210	Toxostoma rufum	Scaffold	SPAdes v. 2022	Illumina	2022-03-11T14:24:31.840	107536	37320	27068	69042297
GCA_046766095.1	81911	Tockus erythrorhynchus	Scaffold	SPAdes v. 2024	Illumina	2024-10-25T08:28:05.037	96879	9175	27038	39713591
GCA_048604485.1	184715	Branta ruficollis	Scaffold	SPAdes v. 2025	Illumina	2025-02-01T14:17:04.503	161969	88768	26815	76153626
GCA_032362345.1	2777736	Sandelia bainsii	Scaffold	SPAdes v. 2023	Illumina	2023-01-01T10:35:19.290	58134	26442	26535	23823580
GCA_034783165.1	45633	Spatula rhynchotis	Scaffold	SPAdes v. 2023	Illumina	2023-07-23T10:57:08.737	105290	27709	26306	74670399
GCA_026283885.1	241588	Poicephalus gulielmi	Scaffold	SPAdes v. 2021	Illumina	2020-11-07T16:45:05.160	372577	338068	26006	35815
GCA_035047885.1	166060	Chlorospingus flavigularis	Scaffold	SPAdes v. 2023	Illumina	2023-08-21T14:54:03.827	121584	27147	25698	71828388
GCA_049942475.1	189535	Aythya collaris	Scaffold	SPAdes v. 2025	Illumina	2025-02-01T14:17:04.758	265983	144265	25478	64326235
GCA_032466535.1	1265749	Forpus xanthops	Scaffold	SPAdes v. 2023	Illumina	2023-05-16T10:01:35.327	106854	68591	25430	36562
GCA_024733675.1	309851	Psilopsiagon aymara	Scaffold	SPAdes v. 2021	Illumina	2021-04-24T11:42:04.840	204384	176891	24771	34696
GCA_035583115.1	548493	Anisognathus igniventris	Scaffold	SPAdes v. 2023	Illumina	2023-08-21T14:54:03.773	112061	28843	24767	72121511
