accession	tax_id	contig_n50	compleasm_fragmented	compleasm_frameshift	compleasm_missing	compleasm_complete	compleasm_single	compleasm_dup	compleasm_retro	technology	group	class	order	species	plot_class
GCA_946808225.1	933932	4577990	23	72	52	3315	3284	28	3	HiFi	bony fishes	Actinopteri	Siluriformes	Silurus aristotelis	Ray-finned Fishes
GCA_947034865.1	135647	2654543	23	80	60	3307	3278	29	0	HiFi	bony fishes	Actinopteri	Cypriniformes	Barbatula barbatula	Ray-finned Fishes
GCA_947247035.1	103942	2137891	24	69	64	3302	3284	14	4	HiFi	snakes	Lepidosauria	Squamata	Vipera ursinii	Lepidosauria
GCA_947650265.1	171736	1186940	42	94	54	3294	3277	17	0	HiFi	bony fishes	Actinopteri	Labriformes	Symphodus melops	Ray-finned Fishes
GCA_949152265.1	58324	1988965	15	72	31	3344	3319	24	1	HiFi	bony fishes	Actinopteri	Cypriniformes	Phoxinus phoxinus	Ray-finned Fishes
GCA_949316315.1	10090	39533248	1	76	10	3379	3269	15	95	HiFi	rodents	Mammalia	Rodentia	Mus musculus	Mammals
GCA_949319135.1	8284	3040692	13	72	23	3354	3319	33	2	HiFi	bony fishes	Actinopteri	Cypriniformes	Squalius cephalus	Ray-finned Fishes
GCA_949357685.1	27704	2576923	21	67	34	3335	3307	27	1	HiFi	bony fishes	Actinopteri	Cypriniformes	Gobio gobio	Ray-finned Fishes
GCA_949357725.1	1484357	1486508	59	72	54	3276	3256	19	1	HiFi	bony fishes	Actinopteri	Uranoscopiformes	Hyperoplus immaculatus	Ray-finned Fishes
GCA_949606895.1	101497	383412	101	121	78	3211	3195	15	1	HiFi	bony fishes	Actinopteri	Perciformes	Notothenia rossii	Ray-finned Fishes
GCA_949628215.1	126867	11420000	1	48	8	3381	3373	8	0	HiFi	birds	Aves	Suliformes	Phalacrocorax aristotelis	Birds
GCA_949748355.1	1091424	1934223	14	86	19	3357	3328	29	0	HiFi	bony fishes	Actinopteri	Perciformes	Melanostigma gelatinosum	Ray-finned Fishes
GCA_949752795.1	48744	3126546	9	65	10	3371	3286	23	62	HiFi	whales & dolphins	Mammalia	Artiodactyla	Hyperoodon ampullatus	Mammals
GCA_949987555.1	473354	959230	48	103	50	3291	3225	64	2	HiFi	bony fishes	Actinopteri	Stomiiformes	Borostomias antarcticus	Ray-finned Fishes
GCA_949987585.1	246814	54047000	3	59	8	3379	3349	6	24	HiFi	bats	Mammalia	Chiroptera	Pipistrellus pygmaeus	Mammals
GCA_949987615.1	185739	606672	17	116	34	3339	3324	14	1	HiFi	bony fishes	Actinopteri	Gadiformes	Pollachius pollachius	Ray-finned Fishes
GCA_949987685.1	146480	2041615	21	71	37	3332	3312	19	1	HiFi	bony fishes	Actinopteri	Uranoscopiformes	Ammodytes marinus	Ray-finned Fishes
GCA_951216825.1	206093	1002537	27	99	29	3334	3088	80	166	HiFi	bony fishes	Actinopteri	Myctophiformes	Electrona antarctica	Ray-finned Fishes
GCA_951394365.1	100830	1909808	5	60	11	3374	3368	6	0	HiFi	birds	Aves	Galliformes	Tetrao urogallus	Birds
GCA_951394435.1	9737	3590204	6	65	10	3373	3327	13	33	HiFi	whales & dolphins	Mammalia	Artiodactyla	Stenella coeruleoalba	Mammals
GCA_951640355.1	3371016	2474537	3	62	6	3381	3337	12	32	HiFi	bats	Mammalia	Chiroptera	Cnephaeus nilssonii	Mammals
GCA_951799395.1	446415	858168	22	88	29	3339	3272	66	1	HiFi	bony fishes	Actinopteri	Argentiniformes	Argentina silus	Ray-finned Fishes
GCA_951799975.1	85417	3365000	20	94	24	3346	3331	13	2	HiFi	bony fishes	Actinopteri	Gobiiformes	Gobius niger	Ray-finned Fishes
GCA_951802725.1	48668	3932511	11	63	27	3352	3322	29	1	HiFi	bony fishes	Actinopteri	Cypriniformes	Rutilus rutilus	Ray-finned Fishes
GCA_951804945.1	1330250	65743000	3	48	12	3375	3354	11	10	HiFi	lizards & snakes	Lepidosauria	Squamata	Podarcis cretensis	Lepidosauria
GCA_960531495.1	64108	1449431	6	82	15	3369	3341	21	7	HiFi	bony fishes	Actinopteri	Zeiformes	Zeus faber	Ray-finned Fishes
GCA_963082525.1	187126	4840756	5	70	5	3380	3376	4	0	HiFi	birds	Aves	Columbiformes	Nesoenas mayeri	Birds
GCA_963210335.1	148596	4755657	1	51	1	3388	3381	7	0	HiFi	birds	Aves	Falconiformes	Falco punctatus	Birds
GCA_963264785.1	232653	5922112	3	60	4	3383	3378	5	0	HiFi	birds	Aves	Psittaciformes	Psittacula echo	Birds
GCA_963280865.1	948025	901999	15	106	19	3356	3046	81	229	HiFi	bony fishes	Actinopteri	Myctophiformes	Gymnoscopelus braueri	Ray-finned Fishes
GCA_963383615.1	56720	3299550	4	96	10	3376	3365	11	0	HiFi	bony fishes	Actinopteri	Blenniiformes	Lipophrys pholis	Ray-finned Fishes
GCA_963383645.1	39082	2432660	2	77	4	3384	3317	13	54	HiFi	rodents	Mammalia	Rodentia	Muscardinus avellanarius	Mammals
GCA_963422515.1	195075	1116256	31	174	44	3315	3303	10	2	HiFi	bony fishes	Actinopteri	Blenniiformes	Blennius ocellaris	Ray-finned Fishes
GCA_963454915.1	1090481	1741000	7	70	13	3370	3092	54	224	HiFi	bony fishes	Actinopteri	Myctophiformes	Gymnoscopelus microlampas	Ray-finned Fishes
GCA_963455305.1	61862	2948753	4	61	5	3381	3328	8	45	HiFi	bats	Mammalia	Chiroptera	Plecotus auritus	Mammals
GCA_963455335.1	29065	1599794	13	51	5	3372	3353	5	14	HiFi	carnivores	Mammalia	Carnivora	Martes martes	Mammals
GCA_963457635.1	90074	2444644	9	69	21	3360	3345	12	3	HiFi	bony fishes	Actinopteri	Pleuronectiformes	Microchirus variegatus	Ray-finned Fishes
GCA_963457725.1	196075	1216682	18	86	30	3342	3290	49	3	HiFi	bony fishes	Actinopteri	Clupeiformes	Sprattus sprattus	Ray-finned Fishes
GCA_963513975.1	37598	3733973	7	56	12	3371	3362	7	2	HiFi	birds	Aves	Passeriformes	Fringilla coelebs	Birds
GCA_963514005.1	223862	2048057	43	49	63	3284	3268	12	4	HiFi	sharks & rays	Chondrichthyes	Rajiformes	Raja brachyura	Cartilaginous Fishes
GCA_963514085.1	48171	2544200	5	72	7	3378	3362	15	1	HiFi	bony fishes	Actinopteri	Mugiliformes	Chelon labrosus	Ray-finned Fishes
GCA_963514095.1	426098	2351664	5	83	7	3378	3371	5	2	HiFi	bony fishes	Actinopteri	Perciformes	Eutrigla gurnardus	Ray-finned Fishes
GCA_963691815.1	94984	2579157	6	82	9	3375	3361	14	0	HiFi	bony fishes	Actinopteri	Perciformes	Echiichthys vipera	Ray-finned Fishes
GCA_963854745.1	52904	1410686	7	85	18	3365	3358	7	0	HiFi	bony fishes	Actinopteri	Pleuronectiformes	Scophthalmus maximus	Ray-finned Fishes
GCA_963921795.1	473322	1305851	11	78	18	3361	3062	77	222	HiFi	bony fishes	Actinopteri	Myctophiformes	Nannobrachium achirus	Ray-finned Fishes
GCA_963924005.1	443714	1267060	19	94	30	3341	3162	49	130	HiFi	bony fishes	Actinopteri	Myctophiformes	Protomyctophum bolini	Ray-finned Fishes
GCA_963924515.1	59485	3319810	4	64	12	3374	3328	6	40	HiFi	bats	Mammalia	Chiroptera	Vespertilio murinus	Mammals
GCA_963924665.1	13151	1835000	16	95	79	3295	3193	20	82	HiFi	rodents	Mammalia	Rodentia	Micromys minutus	Mammals
GCA_963932225.1	8915	3570916	0	45	0	3390	3388	1	1	HiFi	birds	Aves	Charadriiformes	Larus fuscus	Birds
GCA_963969265.1	454631	4163600	4	72	12	3374	3347	21	6	HiFi	bony fishes	Actinopteri	Cichliformes	Rhamphochromis sp. 'chilingali'	Ray-finned Fishes
GCA_963971535.1	948063	444000	69	156	67	3254	3132	90	32	HiFi	bony fishes	Actinopteri	Aulopiformes	Notolepis coatsorum	Ray-finned Fishes
GCA_963989245.1	443705	750607	38	145	34	3318	3165	151	2	HiFi	bony fishes	Actinopteri	Argentiniformes	Nansenia antarctica	Ray-finned Fishes
GCA_963989345.1	197941	3738964	1	50	2	3387	3381	5	1	HiFi	birds	Aves	Anseriformes	Clangula hyemalis	Birds
GCA_963993115.1	38527	3478172	8	71	29	3353	3309	41	3	HiFi	bony fishes	Actinopteri	Cypriniformes	Abramis brama	Ray-finned Fishes
GCA_964030765.1	81636	238748	94	145	291	3005	2923	82	0	HiFi	bony fishes	Actinopteri	Gadiformes	Micromesistius poutassou	Ray-finned Fishes
GCA_964034855.1	132585	2049950	2	58	12	3376	3370	6	0	HiFi	birds	Aves	Anseriformes	Anser brachyrhynchus	Birds
GCA_964035555.1	30387	3347974	4	71	2	3384	3376	8	0	HiFi	birds	Aves	Anseriformes	Netta rufina	Birds
GCA_964059595.1	107022	4272793	5	57	1	3384	3377	6	1	HiFi	birds	Aves	Anseriformes	Bucephala clangula	Birds
GCA_964094495.2	109479	2201046	7	63	9	3374	3251	19	104	HiFi	bats	Mammalia	Chiroptera	Myotis mystacinus	Mammals
GCA_964106545.1	452646	1439238	3	66	3	3384	3271	69	44	HiFi	carnivores	Mammalia	Carnivora	Neogale vison	Mammals
GCA_964106645.2	74359	1611619	5	46	23	3362	3332	19	11	HiFi	lizards & snakes	Lepidosauria	Squamata	Podarcis pityusensis	Lepidosauria
GCA_964106825.2	9627	2040520	8	73	5	3377	3290	23	64	HiFi	carnivores	Mammalia	Carnivora	Vulpes vulpes	Mammals
GCA_964106855.1	40816	3365458	0	50	1	3389	3384	5	0	HiFi	birds	Aves	Gruiformes	Grus grus	Birds
GCA_964106895.1	31919	2605715	2	45	17	3371	3356	15	0	HiFi	birds	Aves	Charadriiformes	Numenius arquata	Birds
GCA_964106915.2	90521	2858450	4	54	12	3374	3355	14	5	HiFi	lizards & snakes	Lepidosauria	Squamata	Podarcis gaigeae	Lepidosauria
GCA_964146895.2	9433	28014000	1	49	3	3386	3365	10	11	HiFi	bats	Mammalia	Chiroptera	Miniopterus schreibersii	Mammals
GCA_964165515.1	48745	3140665	4	60	7	3379	3256	35	88	HiFi	whales & dolphins	Mammalia	Artiodactyla	Mesoplodon bidens	Mammals
GCA_964187855.1	7769	739991	177	100	925	2288	2245	40	3	HiFi	hagfishes	Myxini	Myxiniformes	Myxine glutinosa	Cyclostomes
GCA_964188175.1	65484	3060007	3	54	12	3375	3354	16	5	HiFi	lizards & snakes	Lepidosauria	Squamata	Podarcis siculus	Lepidosauria
GCA_964188305.1	90520	2681335	8	44	59	3323	3302	16	5	HiFi	lizards & snakes	Lepidosauria	Squamata	Podarcis bocagei	Lepidosauria
GCA_964188315.1	64176	3229453	1	52	12	3377	3354	16	7	HiFi	lizards & snakes	Lepidosauria	Squamata	Podarcis muralis	Lepidosauria
GCA_964188345.1	8839	3518761	3	44	3	3384	3361	22	1	HiFi	birds	Aves	Anseriformes	Anas platyrhynchos	Birds
GCA_964188355.1	30397	4249591	1	42	2	3387	3384	3	0	HiFi	hawks & eagles	Aves	Accipitriformes	Buteo buteo	Birds
GCA_964188405.1	1091426	1024588	21	90	42	3327	3122	65	140	HiFi	bony fishes	Actinopteri	Myctophiformes	Protomyctophum parallelum	Ray-finned Fishes
GCA_964194105.1	9997	3445081	3	65	4	3383	3258	46	79	HiFi	rodents	Mammalia	Rodentia	Spermophilus citellus	Mammals
GCA_964194135.1	9375	3421604	7	69	9	3374	3326	16	32	HiFi	insectivores	Mammalia	Eulipotyphla	Talpa europaea	Mammals
GCA_964194155.1	57982	1961965	33	41	28	3329	3302	9	18	HiFi	sharks & rays	Chondrichthyes	Lamniformes	Cetorhinus maximus	Cartilaginous Fishes
GCA_964194185.1	77218	2014157	4	82	3	3383	3301	14	68	HiFi	bats	Mammalia	Chiroptera	Rhinolophus hipposideros	Mammals
GCA_964194415.1	31155	4688414	11	63	58	3321	3276	40	5	HiFi	snakes	Lepidosauria	Squamata	Vipera berus	Lepidosauria
GCA_964195595.2	1323832	4142416	1	55	1	3388	3353	35	0	HiFi	birds	Aves	Procellariiformes	Calonectris borealis	Birds
GCA_964197995.1	58319	2291051	15	75	28	3347	3283	63	1	HiFi	bony fishes	Actinopteri	Cypriniformes	Scardinius erythrophthalmus	Ray-finned Fishes
GCA_964198595.1	7748	1289502	165	197	524	2701	2659	41	1	HiFi	lampreys	Hyperoartia	Petromyzontiformes	Lampetra fluviatilis	Cyclostomes
GCA_964199755.1	119627	4216312	1	43	0	3389	3379	8	2	HiFi	birds	Aves	Charadriiformes	Larus michahellis	Birds
GCA_964204655.1	8323	8497210	44	36	56	3290	3218	34	38	HiFi	salamanders	Amphibia	Caudata	Triturus cristatus	Amphibians
GCA_964205295.1	8348	1741680	106	55	88	3194	3101	59	34	HiFi	frogs & toads	Amphibia	Anura	Bombina variegata	Amphibians
GCA_964211825.1	219593	4150808	4	63	2	3384	3364	19	1	HiFi	birds	Aves	Anseriformes	Aythya ferina	Birds
GCA_964211835.1	8843	2674135	3	56	3	3384	3369	14	1	HiFi	birds	Aves	Anseriformes	Anser anser	Birds
GCA_964212035.2	109481	44226636	2	53	5	3383	3308	18	57	HiFi	bats	Mammalia	Chiroptera	Myotis nattereri	Mammals
GCA_964213995.1	112232	1197343	48	46	43	3299	3274	14	11	HiFi	sharks & rays	Chondrichthyes	Carcharhiniformes	Mustelus asterias	Cartilaginous Fishes
GCA_964234715.1	65482	3027832	8	61	12	3370	3348	13	9	HiFi	lizards & snakes	Lepidosauria	Squamata	Podarcis melisellensis	Lepidosauria
GCA_964237585.1	9123	3673000	1	47	10	3379	3368	11	0	HiFi	birds	Aves	Gruiformes	Gallinula chloropus	Birds
GCA_964252035.1	140042	3226442	14	60	85	3291	3267	15	9	HiFi	lizards & snakes	Lepidosauria	Squamata	Podarcis erhardii	Lepidosauria
GCA_964261635.1	256425	7795245	42	32	59	3289	3194	37	58	HiFi	salamanders	Amphibia	Caudata	Lissotriton helveticus	Amphibians
GCA_964263255.1	8324	6568731	80	52	58	3252	3122	75	55	HiFi	salamanders	Amphibia	Caudata	Lissotriton vulgaris	Amphibians
GCA_964263955.1	59291	476628	33	103	34	3322	1468	1845	9	HiFi	bony fishes	Actinopteri	Salmoniformes	Coregonus lavaretus	Ray-finned Fishes
GCA_964264875.2	59465	26125689	5	57	14	3371	3320	7	44	HiFi	bats	Mammalia	Chiroptera	Nyctalus leisleri	Mammals
GCA_964266715.1	106175	2288625	4	64	10	3376	3355	14	7	HiFi	bony fishes	Actinopteri	Pleuronectiformes	Microstomus kitt	Ray-finned Fishes
GCA_964270895.1	65481	3042058	3	51	14	3373	3355	14	4	HiFi	lizards & snakes	Lepidosauria	Squamata	Podarcis filfolensis	Lepidosauria
GCA_964270905.1	3371109	3493168	4	68	6	3380	3314	18	48	HiFi	whales & dolphins	Mammalia	Artiodactyla	Leucopleurus acutus	Mammals
GCA_964271855.1	83528	29281624	5	48	11	3374	3340	16	18	HiFi	rodents	Mammalia	Rodentia	Acomys minous	Mammals
GCA_964273445.1	177147	2425281	2	57	13	3375	3370	4	1	HiFi	birds	Aves	Columbiformes	Streptopelia decaocto	Birds
GCA_964273705.1	2025560	1870695	24	64	58	3308	3284	21	3	HiFi	snakes	Lepidosauria	Squamata	Natrix helvetica	Lepidosauria
GCA_964276395.1	69293	2544530	8	107	14	3368	3288	80	0	HiFi	bony fishes	Actinopteri	Perciformes	Gasterosteus aculeatus	Ray-finned Fishes
GCA_964289735.1	37045	2122569	14	56	49	3327	3295	32	0	HiFi	birds	Aves	Phaethontiformes	Phaethon aethereus	Birds
GCA_964339955.1	412090	48700701	8	83	9	3373	3335	7	31	HiFi	bats	Mammalia	Chiroptera	Pipistrellus hanaki	Mammals
GCA_964341445.1	52113	3298322	2	71	5	3383	3291	21	71	HiFi	whales & dolphins	Mammalia	Artiodactyla	Mesoplodon mirus	Mammals
GCA_964374135.1	83653	3106000	4	71	3	3383	3320	20	43	HiFi	whales & dolphins	Mammalia	Artiodactyla	Grampus griseus	Mammals
GCA_964374335.1	8154	28161480	4	57	6	3380	3348	23	9	ONT	bony fishes	Actinopteri	Cichliformes	Astatotilapia calliptera	Ray-finned Fishes
GCA_964417175.1	35669	3525167	2	47	2	3386	3368	17	1	HiFi	birds	Aves	Charadriiformes	Larus argentatus	Birds
GCA_964638095.1	88708	841497	14	84	24	3352	3100	150	102	HiFi	bony fishes	Actinopteri	Beryciformes	Poromitra crassiceps	Ray-finned Fishes
GCA_964656225.1	59473	1635117	10	70	22	3358	3310	18	30	HiFi	bats	Mammalia	Chiroptera	Pipistrellus nathusii	Mammals
GCA_964656455.1	9711	3750431	3	63	5	3382	3324	4	54	HiFi	carnivores	Mammalia	Carnivora	Halichoerus grypus	Mammals
GCA_964662115.1	36239	1161649	17	55	10	3363	3277	19	67	HiFi	carnivores	Mammalia	Carnivora	Mustela nivalis	Mammals
GCA_965112155.1	662736	2883979	8	50	21	3361	3335	19	7	HiFi	lizards & snakes	Lepidosauria	Squamata	Podarcis liolepis	Lepidosauria
GCA_965113295.1	58325	1661817	8	66	19	3363	3302	60	1	HiFi	bony fishes	Actinopteri	Cypriniformes	Leuciscus leuciscus	Ray-finned Fishes
GCA_965113315.1	140051	2971493	7	49	12	3371	3343	18	10	HiFi	lizards & snakes	Lepidosauria	Squamata	Podarcis vaucheri	Lepidosauria
GCA_965115925.1	109480	2127843	11	77	15	3364	3252	24	88	HiFi	bats	Mammalia	Chiroptera	Myotis emarginatus	Mammals
GCA_965119305.1	45623	3786355	26	44	69	3295	3253	17	25	HiFi	frogs & toads	Amphibia	Anura	Pelophylax lessonae	Amphibians
GCA_965140235.1	8467	124322749	0	38	5	3385	3380	4	1	HiFi	turtles	Turtles	Testudines	Caretta caretta	Turtles
GCA_965140245.1	126797	4050372	3	54	0	3387	3381	6	0	HiFi	birds	Aves	Strigiformes	Athene noctua	Birds
GCA_965140285.1	8472	52784435	2	32	10	3378	3368	8	2	HiFi	turtles	Turtles	Testudines	Lepidochelys kempii	Turtles
GCA_965140295.1	27788	91320439	0	34	5	3385	3377	6	2	HiFi	turtles	Turtles	Testudines	Lepidochelys olivacea	Turtles
GCA_965140915.1	189534	3182246	5	56	8	3377	3360	15	2	HiFi	birds	Aves	Anseriformes	Aythya marila	Birds
GCA_965151615.1	110926	3838603	1	61	2	3387	3370	16	1	HiFi	birds	Aves	Anseriformes	Cygnus columbianus	Birds
GCA_965152235.1	27787	80323000	3	32	8	3379	3371	5	3	HiFi	turtles	Turtles	Testudines	Eretmochelys imbricata	Turtles
GCA_965152275.1	27790	77014821	2	39	2	3386	3380	3	3	HiFi	turtles	Turtles	Testudines	Natator depressus	Turtles
GCA_965153285.1	65485	2556791	6	57	13	3371	3353	11	7	HiFi	lizards & snakes	Lepidosauria	Squamata	Podarcis tiliguerta	Lepidosauria
GCA_965178545.1	30423	3289653	3	63	6	3381	3367	13	1	HiFi	birds	Aves	Passeriformes	Coloeus monedula	Birds
GCA_965183815.1	257867	3299000	3	48	1	3386	3346	40	0	HiFi	birds	Aves	Pelecaniformes	Platalea leucorodia	Birds
GCA_965194805.1	9768	2585625	8	62	8	3374	3294	16	64	HiFi	whales & dolphins	Mammalia	Artiodactyla	Balaenoptera borealis	Mammals
GCA_965194825.1	9770	2079521	7	72	5	3378	3285	24	69	HiFi	whales & dolphins	Mammalia	Artiodactyla	Balaenoptera physalus	Mammals
GCA_965226115.1	286572	37447771	2	65	3	3385	3349	27	9	ONT	bony fishes	Actinopteri	Cichliformes	Aulonocara stuartgranti	Ray-finned Fishes
GCA_965226575.1	8173	2517928	4	61	2	3384	3367	16	1	HiFi	bony fishes	Actinopteri	Spariformes	Pagrus pagrus	Ray-finned Fishes
GCA_965231255.1	100859	1930563	2	53	20	3368	3347	21	0	HiFi	birds	Aves	Charadriiformes	Vanellus vanellus	Birds
GCA_965231275.1	43581	3151134	6	46	14	3370	3343	25	2	HiFi	birds	Aves	Passeriformes	Zosterops lateralis	Birds
GCA_965231335.1	8853	3892771	1	62	1	3388	3385	3	0	HiFi	birds	Aves	Anseriformes	Branta canadensis	Birds
GCF_003369695.1	30522	26764281	0	80	9	3381	3313	14	54	CLR	even-toed ungulates & whales	Mammalia	Artiodactyla	Bos indicus x Bos taurus	Mammals
GCF_003957555.1	9244	14522327	17	129	50	3323	3316	7	0	CLR	birds	Aves	Apodiformes	Calypte anna	Birds
GCF_004027225.2	2489341	9454087	4	68	6	3380	3358	21	1	CLR	birds	Aves	Psittaciformes	Strigops habroptila	Birds
GCF_004115215.2	9258	15146802	22	144	31	3337	3320	14	3	CLR	monotremes	Mammalia	Monotremata	Ornithorhynchus anatinus	Mammals
GCF_004115265.2	59479	29908815	3	116	2	3385	3316	13	56	CLR	bats	Mammalia	Chiroptera	Rhinolophus ferrumequinum	Mammals
GCF_004126475.2	89673	6892556	7	137	17	3366	3336	11	19	CLR	bats	Mammalia	Chiroptera	Phyllostomus discolor	Mammals
GCF_007364275.1	63155	2143410	5	133	12	3373	3310	60	3	CLR	bony fishes	Actinopteri	Cichliformes	Archocentrus centrarchus	Ray-finned Fishes
GCF_007399415.2	1825980	12863190	5	117	7	3378	3350	23	5	CLR	turtles	Turtles	Testudines	Gopherus evgoodei	Turtles
GCF_007474595.2	61383	7503561	14	148	13	3363	3345	8	10	CLR	carnivores	Mammalia	Carnivora	Lynx canadensis	Mammals
GCF_008692025.1	42100	20218762	2	125	7	3381	3341	14	26	CLR	whales & dolphins	Mammalia	Artiodactyla	Phocoena sinus	Mammals
GCF_009650955.1	1196302	11524098	12	83	17	3361	3355	5	1	CLR	birds	Aves	Passeriformes	Corvus moneduloides	Birds
GCF_009762305.2	9704	31618759	0	104	3	3387	3250	16	121	CLR	carnivores	Mammalia	Carnivora	Zalophus californianus	Mammals
GCF_009762535.1	1203425	3748462	35	143	110	3245	3233	10	2	CLR	bony fishes	Actinopteri	Labriformes	Notolabrus celidotus	Ray-finned Fishes
GCF_009764475.1	685728	17009522	21	183	64	3305	3292	13	0	CLR	sharks & rays	Chondrichthyes	Rhinopristiformes	Pristis pectinata	Cartilaginous Fishes
GCF_009764565.3	27794	7029801	8	116	27	3355	3351	2	2	CLR	turtles	Turtles	Testudines	Dermochelys coriacea	Turtles
GCF_009769535.1	35005	4620601	35	238	85	3270	3199	67	4	CLR	snakes	Lepidosauria	Squamata	Thamnophis elegans	Lepidosauria
GCF_009769545.1	8103	4950682	15	139	48	3327	3312	15	0	CLR	bony fishes	Actinopteri	Perciformes	Cyclopterus lumpus	Ray-finned Fishes
GCF_009769625.2	8869	8308965	2	121	9	3379	3373	5	1	CLR	birds	Aves	Anseriformes	Cygnus olor	Birds
GCF_009819535.1	80427	6613248	6	147	22	3362	3318	26	18	CLR	lizards & snakes	Lepidosauria	Squamata	Lacerta agilis	Lepidosauria
GCF_009819655.1	48155	7345957	7	121	42	3341	3311	28	2	CLR	birds	Aves	Passeriformes	Sylvia atricapilla	Birds
GCF_009819705.1	8267	7020318	9	105	18	3363	3342	20	1	CLR	bony fishes	Actinopteri	Pleuronectiformes	Hippoglossus hippoglossus	Ray-finned Fishes
GCF_009819795.1	219594	17816505	3	85	5	3382	3375	5	2	CLR	birds	Aves	Anseriformes	Aythya fuligula	Birds
GCF_009819885.2	91951	4908935	4	96	9	3377	3295	81	1	CLR	birds	Aves	Passeriformes	Catharus ustulatus	Birds
GCF_009829125.3	409849	2301275	19	108	52	3319	3297	21	1	CLR	bony fishes	Actinopteri	Gobiiformes	Periophthalmus magnuspinnatus	Ray-finned Fishes
GCF_009829145.1	296741	18496167	6	147	15	3369	3358	11	0	CLR	birds	Aves	Passeriformes	Chiroxiphia lanceolata	Birds
GCF_009829155.1	36723	36329944	2	63	13	3375	3329	7	39	CLR	carnivores	Mammalia	Carnivora	Mustela erminea	Mammals
GCF_009873245.2	9771	6274848	3	128	4	3383	3285	15	83	CLR	whales & dolphins	Mammalia	Artiodactyla	Balaenoptera musculus	Mammals
GCF_010909765.2	386614	1419197	33	70	75	3282	3260	20	2	CLR	sharks & rays	Chondrichthyes	Rajiformes	Amblyraja radiata	Cartilaginous Fishes
GCF_011004845.1	8010	22630263	3	69	7	3380	3344	35	1	CLR	bony fishes	Actinopteri	Esociformes	Esox lucius	Ray-finned Fishes
GCF_011100635.1	9337	4314688	17	72	13	3360	3237	18	105	CLR	marsupials	Mammalia	Diprotodontia	Trichosurus vulpecula	Mammals
GCF_011100685.1	9615	14840767	2	103	2	3386	3300	19	67	CLR	carnivores	Mammalia	Carnivora	Canis lupus	Mammals
GCF_011762595.1	9739	9729386	6	73	6	3378	3317	18	43	CLR	whales & dolphins	Mammalia	Artiodactyla	Tursiops truncatus	Mammals
GCF_012275295.1	13146	16636420	4	82	9	3377	3343	34	0	CLR	birds	Aves	Psittaciformes	Melopsittacus undulatus	Birds
GCF_013347855.1	7936	5114673	9	79	20	3361	3155	204	2	CLR	bony fishes	Actinopteri	Anguilliformes	Anguilla anguilla	Ray-finned Fishes
GCF_013368585.1	118141	26850664	2	61	7	3381	3087	290	4	CLR	bony fishes	Actinopteri	Elopiformes	Megalops cyprinoides	Ray-finned Fishes
GCF_013368605.1	48427	23231768	3	89	2	3385	3372	12	1	CLR	birds	Aves	Caprimulgiformes	Nyctibius grandis	Birds
GCF_014108235.1	51298	12511134	4	64	4	3382	3286	17	79	CLR	bats	Mammalia	Chiroptera	Myotis myotis	Mammals
GCF_014108245.1	59472	10591995	5	72	11	3374	3326	14	34	CLR	bats	Mammalia	Chiroptera	Pipistrellus kuhlii	Mammals
GCF_014108415.1	27622	22174888	7	56	4	3379	3344	7	28	CLR	bats	Mammalia	Chiroptera	Molossus molossus	Mammals
GCF_014176215.1	9407	21999313	4	66	9	3377	3370	7	0	CLR	bats	Mammalia	Chiroptera	Rousettus aegyptiacus	Mammals
GCF_014839835.1	118200	19150283	5	56	25	3360	3350	7	3	CLR	birds	Aves	Piciformes	Dryobates pubescens	Birds
GCF_015220075.1	120794	15323486	3	89	5	3382	3375	7	0	CLR	birds	Aves	Falconiformes	Falco rusticolus	Birds
GCF_015220235.1	27675	20994632	14	117	17	3359	3110	46	203	CLR	placentals	Mammalia	Pilosa	Choloepus didactylus	Mammals
GCF_015220715.1	42514	12898870	7	51	7	3376	3345	29	2	CLR	bony fishes	Actinopteri	Characiformes	Pygocentrus nattereri	Ray-finned Fishes
GCF_015220745.1	72105	11445908	19	116	32	3339	3319	19	1	CLR	bony fishes	Actinopteri	Perciformes	Sebastes umbrosus	Ray-finned Fishes
GCF_015220805.1	488313	16792259	7	68	21	3362	3355	6	1	CLR	birds	Aves	Piciformes	Pogoniulus pusillus	Birds
GCF_015227675.2	10116	29198295	2	60	9	3379	3299	13	67	CLR	rodents	Mammalia	Rodentia	Rattus norvegicus	Mammals
GCF_015227805.1	43150	2794774	12	80	33	3344	3334	8	2	CLR	birds	Aves	Passeriformes	Hirundo rustica	Birds
GCF_015237465.2	8469	39415510	1	45	2	3387	3381	5	1	CLR	turtles	Turtles	Testudines	Chelonia mydas	Turtles
GCF_015852505.1	9261	19859057	28	150	46	3316	3303	8	5	CLR	monotremes	Mammalia	Monotremata	Tachyglossus aculeatus	Mammals
GCF_016700215.2	9031	17744542	1	70	8	3381	3376	5	0	CLR	birds	Aves	Galliformes	Gallus gallus	Birds
GCF_017639515.1	13397	6544962	16	33	22	3352	3340	9	3	CLR	sharks & rays	Chondrichthyes	Lamniformes	Carcharodon carcharias	Cartilaginous Fishes
GCF_017639655.2	148594	13754753	2	63	4	3384	3367	17	0	CLR	birds	Aves	Falconiformes	Falco naumanni	Birds
GCF_017639745.1	1250792	9299978	3	62	8	3379	3369	10	0	CLR	bony fishes	Actinopteri	Atheriniformes	Melanotaenia boesemani	Ray-finned Fishes
