Accession	tTax_ID	Submission_Date	Number_Contigs	Contig_N50	Contig_N90	Number_Scaffolds	Scaffold_N50	Scaffold_N90	Assembly_Size	Percentage_masked	Species_name	Super_class	Class	Infra_class	Sub_class	Super_order	Order	Sequencing_type
GCA_036417665.1	48849	2024-02-07	536	20590000	2695374	334	83066519	12527910	1310114252	29.34	Passer domesticus	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio HiFi
GCA_014839755.1	73324	2020-10-02	310	31914676	4602110	176	72750092	11842372	1045652180	19.33	Sylvia borin	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio CLR
GCA_009819655.1	48155	2019-12-31	602	7345957	1266452	189	72978054	14194216	1066786587	19.12	Sylvia atricapilla	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio CLR
GCA_015227805.3	43150	2021-11-30	1719	2794774	410547	617	76187387	12073725	1105955550	20.65	Hirundo rustica	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio CLR
GCA_009764595.1	135433	2019-12-19	1757	3247339	323245	278	72541719	14378491	1078128490	19.80	Geothlypis trichas	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio CLR
GCA_903797595.2	37610	2021-05-03	2109	5585877	284086	1119	60684490	3150976	1086738418	20.37	Erithacus rubecula	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio CLR
GCA_009819885.2	91951	2020-12-22	590	4908935	1547592	161	68462074	11336639	1131635256	21.70	Catharus ustulatus	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio CLR
GCA_030490865.1	48891	2023-07-18	708	8462732	1537067	306	107919339	11236730	1251116877	23.32	Poecile atricapillus	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio HiFi
GCA_029582105.1	2939378	2023-04-06	1170	7795761	1273595	588	69618406	11112727	1036273591	19.66	Oenanthe melanoleuca	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio CLR
GCA_963662255.1	127875	2023-12-11	936	3563180	833553	278	74357285	8299355	1170855695	25.74	Cinclus cinclus	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio HiFi
GCA_020745825.3	39638	2023-03-15	515	22833505	2253914	409	71525342	6562980	1188530404	24.35	Agelaius phoeniceus	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio RSII
GCA_027559615.1	279927	2023-01-09	890	7308823	690852	455	75254055	6770228	1193419045	21.62	Acridotheres tristis	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio HiFi
GCA_014706295.1	2767082	2020-09-23	3297	7380351	535447	1695	74168823	11658745	1107771238	19.48	Lycocorax pyrrhopterus obiensis	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio CLR
GCA_020740725.1	134902	2021-11-04	481	23064755	2484873	187	76278832	13093161	1151594481	22.80	Corvus hawaiiensis	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio HiFi
GCA_009650955.1	1196302	2019-11-14	395	11524098	2427983	106	74699841	14829806	1112750989	19.22	Corvus moneduloides	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio CLR
GCA_009829145.1	296741	2020-01-03	299	18496167	3681383	93	75608808	15077643	1089631598	19.27	Chiroxiphia lanceolata	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio CLR
GCA_036250125.1	415032	2024-01-31	1020	10447158	1278064	697	75011098	12855514	1165219370	21.00	Pseudopipra pipra	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio HiFi
GCA_016904835.1	57068	2021-02-17	401	16681756	2684262	206	40827287	11886912	1077387582	18.34	Acanthisitta chloris	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio CLR
GCA_004027225.2	2489341	2020-03-04	463	9454087	2164878	90	83240647	27433492	1148615375	20.01	Strigops habroptila	Sarcopterygii	Aves	Neognathae			Psittaciformes	PacBio CLR
GCA_012275295.1	13146	2020-04-13	1149	16636420	1476206	865	104092594	12147643	1171635651	21.46	Melopsittacus undulatus	Sarcopterygii	Aves	Neognathae			Psittaciformes	PacBio CLR
GCA_028858755.1	9226	2023-02-24	353	38811057	7771832	246	110438430	15786819	1224360198	24.21	Ara ararauna	Sarcopterygii	Aves	Neognathae			Psittaciformes	PacBio HiFi
GCA_039720435.1	151761	2024-05-24	1877	14879228	754740	1679	92674118	1923566	1361915838	29.76	Amazona ochrocephala	Sarcopterygii	Aves	Neognathae			Psittaciformes	PacBio HiFi
GCA_037157495.1	678569	2024-03-15	554	19972387	2493275	368	126105786	13125922	1241022905	25.50	Lathamus discolor	Sarcopterygii	Aves	Neognathae			Psittaciformes	PacBio HiFi
GCA_963264785.1	232653	2023-08-20	530	5922112	1474281	172	106987384	12426226	1203831919	24.55	Psittacula echo	Sarcopterygii	Aves	Neognathae			Psittaciformes	PacBio HiFi
GCA_023634155.1	8954	2022-06-02	356	15744644	2170749	124	93682670	9868967	1311580791	24.10	Falco peregrinus	Sarcopterygii	Aves	Neognathae			Falconiformes	PacBio HiFi
GCA_015220075.1	120794	2020-11-03	768	15323486	931494	133	91094845	30790089	1195847766	18.23	Falco rusticolus	Sarcopterygii	Aves	Neognathae			Falconiformes	PacBio CLR
GCA_023638135.1	345155	2022-06-02	555	24892811	1720170	397	91472507	24046524	1285492283	22.98	Falco biarmicus	Sarcopterygii	Aves	Neognathae			Falconiformes	PacBio HiFi
GCA_023634085.1	345164	2022-06-02	540	21245687	1255442	282	92426045	13307153	1309366964	21.12	Falco cherrug	Sarcopterygii	Aves	Neognathae			Falconiformes	PacBio HiFi
GCA_017639655.1	148594	2021-03-30	589	13754753	2886939	291	91761059	29619203	1215719661	18.56	Falco naumanni	Sarcopterygii	Aves	Neognathae			Falconiformes	PacBio CLR
GCA_963210335.1	148596	2023-08-19	723	4755657	1120568	316	92385878	8824250	1279277844	22.16	Falco punctatus	Sarcopterygii	Aves	Neognathae			Falconiformes	PacBio HiFi
GCA_009819825.1	54380	2019-12-31	304	13514148	3207014	110	30176635	13514148	1215245693	18.72	Cariama cristata	Sarcopterygii	Aves	Neognathae			Cariamiformes	PacBio CLR
GCA_014839835.1	118200	2020-10-02	368	19150283	3662357	181	38715865	14305593	1187956536	31.34	Dryobates pubescens	Sarcopterygii	Aves	Neognathae			Piciformes	PacBio CLR
GCA_015220805.1	488313	2020-11-03	560	16792259	2442898	253	33994490	14595720	1272358903	35.25	Pogoniulus pusillus	Sarcopterygii	Aves	Neognathae			Piciformes	PacBio CLR
GCA_009819595.1	57421	2019-12-31	378	12372304	1831377	109	49132790	17189439	1149356202	19.67	Merops nubicus	Sarcopterygii	Aves	Neognathae			Coraciiformes	PacBio CLR
GCA_009769605.1	153643	2019-12-23	316	12039478	3104693	112	40274051	14657043	1132597561	18.74	Bucorvus abyssinicus	Sarcopterygii	Aves	Neognathae			Bucerotiformes	PacBio CLR
GCA_020746105.1	297711	2021-11-05	435	16237294	3148609	182	82617956	12955084	1165749515	22.07	Trogon surrucura	Sarcopterygii	Aves	Neognathae			Trogoniformes	PacBio CLR
GCA_034619465.1	188344	2023-12-27	549	8826436	1813955	278	82124922	8629489	1332047658	20.88	Leptosomus discolor	Sarcopterygii	Aves	Neognathae			Coraciiformes	PacBio HiFi
GCA_028858725.2	57412	2023-02-24	348	21931325	2639154	190	89023854	12955907	1212464869	22.82	Colius striatus	Sarcopterygii	Aves	Neognathae			Coliiformes	PacBio HiFi
GCA_031877795.1	111821	2023-09-25	484	11872084	2090401	203	89389700	9115373	1414802443	26.73	Strix aluco	Sarcopterygii	Aves	Neognathae			Strigiformes	PacBio HiFi
GCA_900496995.4	223781	2021-03-26	373	21924221	5065314	145	46934974	22514005	1233723095	19.49	Aquila chrysaetos chrysaetos	Sarcopterygii	Aves	Neognathae			Accipitriformes	PacBio CLR
GCA_947461875.1	8969	2022-12-06	612	4576000	1269783	188	44398590	24288925	1320298205	18.38	Haliaeetus albicilla	Sarcopterygii	Aves	Neognathae			Accipitriformes	PacBio HiFi
GCA_026419915.1	202280	2022-11-27	664	16799191	1602706	322	58111031	23490611	1351447071	24.25	Harpia harpyja	Sarcopterygii	Aves	Neognathae			Accipitriformes	PacBio HiFi
GCA_929443795.1	8957	2022-02-09	638	17712854	2011408	455	35025567	10404007	1398027955	26.70	Accipiter gentilis	Sarcopterygii	Aves	Neognathae			Accipitriformes	PacBio HiFi
GCA_028022735.1	33610	2023-01-31	491	18064636	2371643	232	52189775	26024370	1365299843	25.97	Gypaetus barbatus	Sarcopterygii	Aves	Neognathae			Accipitriformes	PacBio HiFi
GCA_964188355.1	30397	2024-06-21	1015	4249591	985953	544	46961128	17458711	1303700921	23.30	Buteo buteo	Sarcopterygii	Aves	Neognathae			Accipitriformes	PacBio HiFi
GCA_037962945.1	43583	2024-04-04	278	40899883	5081793	124	96420541	12933893	1543950730	31.94	Sarcoramphus papa	Sarcopterygii	Aves	Neognathae			Accipitriformes	PacBio HiFi
GCA_030463565.1	36300	2023-07-18	701	9666746	1514165	311	86807213	18725216	1314587946	20.81	Pelecanus crispus	Sarcopterygii	Aves	Neognathae			Pelecaniformes	PacBio HiFi
GCA_020745775.1	1118847	2021-11-05	192	37098842	8697371	88	101368359	16908821	1203372763	19.44	Theristicus caerulescens	Sarcopterygii	Aves	Neognathae			Pelecaniformes	PacBio CLR
GCA_949628215.1	126867	2023-04-08	575	11420000	2100000	353	78889319	13321506	1279134750	22.16	Phalacrocorax aristotelis	Sarcopterygii	Aves	Neognathae			Suliformes	PacBio HiFi
GCA_963921805.1	9209	2024-02-09	844	4631399	1105955	351	84621172	9979391	1283643005	21.93	Phalacrocorax carbo	Sarcopterygii	Aves	Neognathae			Suliformes	PacBio HiFi
GCA_031468815.1	37578	2023-09-15	669	10178591	1441996	421	85624757	9160443	1294804326	20.29	Morus bassanus	Sarcopterygii	Aves	Neognathae			Suliformes	PacBio HiFi
GCA_017639555.1	52777	2021-03-30	385	23757428	3837980	153	85554746	17172363	1239437416	19.27	Ciconia maguari	Sarcopterygii	Aves	Neognathae			Ciconiiformes	PacBio CLR
GCA_964195595.1	1323832	2024-06-30	880	4142416	1128301	355	86023716	9973482	1366205003	24.19	Calonectris borealis	Sarcopterygii	Aves	Neognathae			Procellariiformes	PacBio HiFi
GCA_027474245.1	9240	2022-12-28	389	13936613	2609794	136	89079306	16186566	1358357718	25.18	Spheniscus humboldti	Sarcopterygii	Aves	Neognathae			Sphenisciformes	PacBio HiFi
GCA_030936135.1	37040	2023-08-30	1435	13765203	948525	1186	50637386	6704313	1321287916	22.95	Gavia stellata	Sarcopterygii	Aves	Neognathae			Gaviiformes	PacBio HiFi
GCA_027574665.1	54386	2023-01-09	448	10485863	1735776	148	63592491	7476234	1331454348	27.64	Rhynochetos jubatus	Sarcopterygii	Aves	Neognathae			Eurypygiformes	PacBio HiFi
GCA_017639485.1	670352	2021-03-30	375	15203797	2878681	107	87527607	17234370	1247767512	20.78	Pluvialis apricaria	Sarcopterygii	Aves	Neognathae			Charadriiformes	PacBio CLR
GCA_008658365.1	28689	2019-10-10	322	18221265	3374007	95	84526827	34322904	1178492568	19.53	Alca torda	Sarcopterygii	Aves	Neognathae			Charadriiformes	PacBio CLR
GCA_009819605.1	108405	2019-12-31	328	22002498	3404150	123	85487239	30244496	1229972541	20.52	Sterna hirundo	Sarcopterygii	Aves	Neognathae			Charadriiformes	PacBio CLR
GCA_028500815.1	75485	2023-02-09	999	15653959	887559	716	88208671	7619528	1353621101	26.09	Rissa tridactyla	Sarcopterygii	Aves	Neognathae			Charadriiformes	PacBio HiFi
GCA_963924245.1	1192867	2024-01-20	1191	4003687	799646	729	83755488	1452534	1417571123	30.71	Chroicocephalus ridibundus	Sarcopterygii	Aves	Neognathae			Charadriiformes	PacBio HiFi
GCA_963932225.1	8915	2024-02-07	1904	3570916	421206	1367	86500895	3505000	1324286540	26.49	Larus fuscus	Sarcopterygii	Aves	Neognathae			Charadriiformes	PacBio HiFi
GCA_964106895.1	31919	2024-06-06	2604	2605715	274390	1819	63363742	892219	1348876333	27.72	Numenius arquata	Sarcopterygii	Aves	Neognathae			Charadriiformes	PacBio HiFi
GCA_964199755.1	119627	2024-07-14	1118	4216312	901152	618	87713602	2901807	1405581498	29.13	Larus michahellis	Sarcopterygii	Aves	Neognathae			Charadriiformes	PacBio HiFi
GCA_011004875.1	100784	2020-03-05	249	23326060	5685412	105	82577926	16783481	1221051782	19.86	Balearica regulorum gibbericeps	Sarcopterygii	Aves	Neognathae			Gruiformes	PacBio CLR
GCA_028858705.1	9117	2023-02-24	1191	28324902	2349821	929	82903739	9559835	1257821324	21.56	Grus americana	Sarcopterygii	Aves	Neognathae			Gruiformes	PacBio CLR
GCA_964106855.1	40816	2024-06-06	1347	3365458	705019	754	83713171	7441478	1352282554	26.18	Grus grus	Sarcopterygii	Aves	Neognathae			Gruiformes	PacBio HiFi
GCA_020800305.1	439704	2021-11-08	501	13461271	1797143	174	71566193	10382098	1270294353	25.34	Porphyrio hochstetteri	Sarcopterygii	Aves	Neognathae			Gruiformes	PacBio HiFi
GCA_964237585.1	9123	2024-08-31	1421	3673000	615402	818	90336355	7023988	1282411533	24.96	Gallinula chloropus	Sarcopterygii	Aves	Neognathae			Gruiformes	PacBio HiFi
GCA_030867145.1	30419	2023-08-24	683	14274197	2169466	415	80946297	12432580	1482459898	24.24	Opisthocomus hoazin	Sarcopterygii	Aves	Neognathae			Opisthocomiformes	PacBio HiFi
GCA_003957555.2	9244	2019-05-17	589	14522327	1243174	160	74081004	15116875	1059706240	20.46	Calypte anna	Sarcopterygii	Aves	Neognathae			Apodiformes	PacBio CLR
GCA_023637945.1	46513	2022-06-01	211	35194150	5326539	70	72710393	14857095	1020112811	19.46	Phaethornis superciliosus	Sarcopterygii	Aves	Neognathae			Apodiformes	PacBio CLR
GCA_036169615.1	472823	2024-01-26	568	8413062	1178071	131	73898144	13931110	1049650714	20.41	Heliangelus exortis	Sarcopterygii	Aves	Neognathae			Apodiformes	PacBio HiFi
GCA_020740795.1	8895	2021-11-04	365	25561769	4539366	109	115508478	14928149	1100361224	20.53	Apus apus	Sarcopterygii	Aves	Neognathae			Apodiformes	PacBio CLR
GCA_020745705.1	243314	2021-11-05	364	20531774	3188086	146	91346199	16555804	1164813063	21.02	Hemiprocne comata	Sarcopterygii	Aves	Neognathae			Apodiformes	PacBio CLR
GCA_907165065.1	111811	2021-05-17	274	30622946	4371865	121	82614289	15699869	1177791212	21.45	Caprimulgus europaeus	Sarcopterygii	Aves	Neognathae			Caprimulgiformes	PacBio CLR
GCA_039906565.1	48277	2024-05-31	1031	9620782	1220952	592	46898397	15127994	1167497019	21.00	Aegotheles albertisi	Sarcopterygii	Aves	Neognathae			Caprimulgiformes	PacBio HiFi
GCA_028020825.1	8905	2023-01-31	1241	11637970	1214671	1038	58393285	7290623	1271141449	27.06	Podargus strigoides	Sarcopterygii	Aves	Neognathae			Caprimulgiformes	PacBio HiFi
GCA_013368605.1	48427	2020-06-23	434	23231768	5069166	191	92359233	9712917	1256414880	23.38	Nyctibius grandis	Sarcopterygii	Aves	Neognathae			Caprimulgiformes	PacBio CLR
GCA_036417535.1	187382	2024-02-07	429	25335467	3790170	329	84623986	12962427	1273933319	21.82	Chlamydotis macqueenii	Sarcopterygii	Aves	Neognathae			Otidiformes	PacBio HiFi
GCA_009769465.1	121530	2019-12-19	484	11927027	1827706	140	85562082	16551252	1252271553	21.46	Tauraco erythrolophus	Sarcopterygii	Aves	Neognathae			Musophagiformes	PacBio CLR
GCA_017976375.1	55661	2021-04-15	447	20797936	4165766	151	78325852	13571377	1180156273	21.07	Cuculus canorus	Sarcopterygii	Aves	Neognathae			Cuculiformes	PacBio CLR
GCA_009769525.1	240206	2019-12-23	331	12131577	2349755	89	43262132	16547218	1127422757	19.68	Pterocles gutturalis	Sarcopterygii	Aves	Neognathae			Pterocliformes	PacBio CLR
GCA_901699155.2	177155	2021-05-17	1251	3730413	478082	311	81365208	12590563	1178816852	20.48	Streptopelia turtur	Sarcopterygii	Aves	Neognathae			Columbiformes	PacBio CLR
GCA_964273445.1	177147	2024-10-04	3147	2425281	267000	2451	78754139	500787	1290957608	29.23	Streptopelia decaocto	Sarcopterygii	Aves	Neognathae			Columbiformes	PacBio HiFi
GCA_963082525.1	187126	2023-08-09	652	4840756	1128424	143	78184682	13300769	1183271950	22.06	Nesoenas mayeri	Sarcopterygii	Aves	Neognathae			Columbiformes	PacBio HiFi
GCA_036013445.1	187106	2024-01-26	924	25101800	1482890	807	79699707	3554950	1285851275	27.32	Caloenas nicobarica	Sarcopterygii	Aves	Neognathae			Columbiformes	PacBio HiFi
GCA_036971685.1	372321	2024-03-06	672	17514312	1462969	453	71505812	2901100	1410058165	31.18	Patagioenas fasciata	Sarcopterygii	Aves	Neognathae			Columbiformes	PacBio HiFi
GCA_036013475.2	8932	2024-04-08	1119	14042120	866176	870	68980706	1547198	1325583311	29.18	Columba livia	Sarcopterygii	Aves	Neognathae			Columbiformes	PacBio HiFi
GCA_009819775.1	9218	2019-12-31	370	14700712	2395608	90	85472901	17028469	1246226932	20.45	Phoenicopterus ruber ruber	Sarcopterygii	Aves	Neognathae			Phoenicopteriformes	PacBio CLR
GCA_016700215.2	9031	2021-10-01	685	17744542	2491098	276	90563926	11216778	1050511239	20.31	Gallus gallus	Sarcopterygii	Aves	Neognathae		Galloanserae	Galliformes	PacBio CLR
GCA_023343835.1	64668	2022-05-12	374	17905263	2850979	164	71229700	10896487	1026755127	21.07	Lagopus muta	Sarcopterygii	Aves	Neognathae		Galloanserae	Galliformes	PacBio HiFi
GCA_951394365.1	100830	2023-06-15	1291	1909808	508090	318	71401156	12783881	1013184029	20.46	Tetrao urogallus	Sarcopterygii	Aves	Neognathae		Galloanserae	Galliformes	PacBio HiFi
GCA_039878825.1	46218	2024-05-31	521	7816141	1221632	191	86361526	11730520	966847183	19.81	Excalfactoria chinensis	Sarcopterygii	Aves	Neognathae		Galloanserae	Galliformes	PacBio HiFi
GCA_009819795.1	219594	2019-12-31	267	17816505	4225905	104	85905639	15484054	1126988109	21.87	Aythya fuligula	Sarcopterygii	Aves	Neognathae		Galloanserae	Anseriformes	PacBio CLR
GCA_964211825.1	219593	2024-07-31	1336	4150808	748164	862	79844515	6484510	1252319576	27.09	Aythya ferina	Sarcopterygii	Aves	Neognathae		Galloanserae	Anseriformes	PacBio HiFi
GCA_964035555.1	30387	2024-04-29	855	3347974	788558	141	77261329	13147949	1166978622	23.80	Netta rufina	Sarcopterygii	Aves	Neognathae		Galloanserae	Anseriformes	PacBio HiFi
GCA_964188345.1	8839	2024-06-21	1507	3518761	624543	936	69288905	6498595	1300248985	27.55	Anas platyrhynchos	Sarcopterygii	Aves	Neognathae		Galloanserae	Anseriformes	PacBio HiFi
GCA_009769625.2	8869	2021-03-31	622	8308965	1167164	171	81481363	13183618	1134186636	20.82	Cygnus olor	Sarcopterygii	Aves	Neognathae		Galloanserae	Anseriformes	PacBio CLR
GCA_963932015.1	28680	2024-02-07	1026	3416933	656382	395	76435830	12226428	1189313589	25.18	Anas acuta	Sarcopterygii	Aves	Neognathae		Galloanserae	Anseriformes	PacBio HiFi
GCA_964034855.1	132585	2024-04-27	1852	2049950	362205	715	79251119	7082356	1287337719	28.81	Anser brachyrhynchus	Sarcopterygii	Aves	Neognathae		Galloanserae	Anseriformes	PacBio HiFi
GCA_964211835.1	8843	2024-07-31	1749	2674135	467728	819	78965412	8062787	1313455045	27.76	Anser anser	Sarcopterygii	Aves	Neognathae		Galloanserae	Anseriformes	PacBio HiFi
GCA_964059595.1	107022	2024-06-06	992	4272793	1007342	538	66356865	9763634	1190938797	24.23	Bucephala clangula	Sarcopterygii	Aves	Neognathae		Galloanserae	Anseriformes	PacBio HiFi
GCA_963989345.1	197941	2024-03-14	816	3738964	1094110	272	78069974	8686370	1206104048	25.39	Clangula hyemalis	Sarcopterygii	Aves	Neognathae		Galloanserae	Anseriformes	PacBio HiFi
GCA_036873955.1	1570318	2024-02-26	896	10800487	930710	569	83836255	11940016	1245791205	27.85	Mergus octosetaceus	Sarcopterygii	Aves	Neognathae		Galloanserae	Anseriformes	PacBio HiFi
GCA_040807025.1	8801	2024-07-22	379	28829471	4721291	263	84633522	15479233	1452035523	17.32	Struthio camelus	Sarcopterygii	Aves			Palaeognathae	Struthioniformes	PacBio HiFi
GCA_036370855.1	8790	2024-02-26	401	24239989	4089372	272	77929039	10546449	1468722890	23.32	Dromaius novaehollandiae	Sarcopterygii	Aves			Palaeognathae	Casuariiformes	PacBio HiFi
GCA_036417845.1	2696672	2024-02-06	579	19797665	2783287	409	88095958	9218850	1504415252	26.94	Apteryx mantelli	Sarcopterygii	Aves			Palaeognathae	Apterygiformes	PacBio HiFi
GCA_028389875.1	8795	2023-02-06	307	19335416	3425216	179	82467789	9419091	1269000025	22.08	Rhea pennata	Sarcopterygii	Aves			Palaeognathae	Rheiformes	PacBio HiFi
GCA_030867095.1	8496	2023-08-24	355	38556409	10058093	194	255078640	67968646	2346779227	31.63	Alligator mississippiensis	Sarcopterygii					Crocodylia	PacBio HiFi
GCA_030020295.1	94835	2023-05-22	278	84235120	17071311	160	257319116	71320994	2328538659	30.11	Gavialis gangeticus	Sarcopterygii					Crocodylia	PacBio HiFi
GCA_033958435.1	44489	2023-11-27	146	126464372	20314305	134	130115908	26117499	2180317067	33.55	Carettochelys insculpta	Sarcopterygii			Testudinata		Testudines	PacBio HiFi
GCA_015237465.2	8469	2021-07-15	390	39415510	8654002	92	134428053	25202864	2134358617	31.54	Chelonia mydas	Sarcopterygii			Testudinata		Testudines	PacBio CLR
GCA_033349115.1	3026461	2023-11-06	560	28400779	2091736	199	133157836	33012312	1937254095	32.05	Macrochelys suwanniensis	Sarcopterygii			Testudinata		Testudines	PacBio HiFi
GCA_009764565.4	27794	2021-08-25	709	7029801	1734682	41	137568771	25428285	2164778715	33.73	Dermochelys coriacea	Sarcopterygii			Testudinata		Testudines	PacBio CLR
GCA_028017835.1	82168	2023-01-30	254	91255289	9278625	106	146456333	34215272	2309740635	34.88	Emys orbicularis	Sarcopterygii			Testudinata		Testudines	PacBio HiFi
GCA_027887155.1	2991368	2023-01-18	217	75591180	12314931	76	144565223	33587576	2211221380	33.17	Malaclemys terrapin pileata	Sarcopterygii			Testudinata		Testudines	PacBio HiFi
GCA_032164245.1	142480	2023-09-29	771	17031157	1283573	218	108345705	26139994	1759411633	29.79	Sternotherus odoratus	Sarcopterygii			Testudinata		Testudines	PacBio HiFi
GCA_007399415.1	1825980	2019-07-25	945	12863190	2440673	383	147425149	23166772	2298564209	33.18	Gopherus evgoodei	Sarcopterygii			Testudinata		Testudines	PacBio CLR
GCA_025201925.1	286002	2022-09-15	2488	6917139	521464	622	162938067	25785801	2460558587	35.36	Gopherus flavomarginatus	Sarcopterygii			Testudinata		Testudines	PacBio CLR
GCA_040894355.1	1041117	2024-07-26	186	56181416	12406371	129	123447689	30407135	1980051792	25.93	Myuchelys georgesi	Sarcopterygii			Testudinata		Testudines	PacBio HiFi
GCA_035149785.1	51853	2024-01-18	251	55640180	4988378	150	209480725	25783037	1530827941	33.05	Candoia aspera	Sarcopterygii	Lepidosauria				Squamata	PacBio HiFi
GCA_030867105.1	283338	2023-08-24	116	65226870	11736611	43	203662644	26295960	1486119866	29.67	Liasis olivaceus	Sarcopterygii	Lepidosauria				Squamata	PacBio HiFi
GCA_024294585.1	246179	2022-07-20	825	44839567	1471406	56	222489854	26768190	1631568913	44.31	Vipera latastei	Sarcopterygii	Lepidosauria				Squamata	PacBio HiFi
GCA_947247035.1	103942	2022-10-30	2203	2137891	373932	384	212821320	25739966	1625023540	44.78	Vipera ursinii	Sarcopterygii	Lepidosauria				Squamata	PacBio HiFi
GCA_031021105.1	121349	2023-08-31	1791	3064756	551183	400	259117534	50302268	1964049041	52.77	Erythrolamprus reginae	Sarcopterygii	Lepidosauria				Squamata	PacBio HiFi
GCA_964194415.1	31155	2024-06-28	1536	4688414	655095	479	218396773	26263919	1695017208	45.37	Vipera berus	Sarcopterygii	Lepidosauria				Squamata	PacBio HiFi
GCA_009769535.1	35005	2019-12-23	1883	4620601	406312	365	100851885	49402056	1672190305	43.00	Thamnophis elegans	Sarcopterygii	Lepidosauria				Squamata	PacBio CLR
GCA_964273705.1	2025560	2024-10-05	2497	1870695	378482	487	172830377	28487360	1777516490	45.54	Natrix helvetica	Sarcopterygii	Lepidosauria				Squamata	PacBio HiFi
GCA_037176765.1	38937	2024-03-15	220	43146625	5517933	29	249210491	44317406	1950830970	45.04	Anolis sagrei	Sarcopterygii	Lepidosauria				Squamata	PacBio HiFi
GCA_035047305.1	179887	2024-01-03	39	178505980	37318862	21	389612775	43310930	2486266449	56.30	Bradypodion pumilum	Sarcopterygii	Lepidosauria				Squamata	PacBio HiFi
GCA_035047345.1	179890	2024-01-03	135	174922266	22069499	113	374919295	42124864	2373187502	53.89	Bradypodion ventrale	Sarcopterygii	Lepidosauria				Squamata	PacBio HiFi
GCA_030440675.1	187939	2023-07-12	23	158731830	31613784	11	184669281	111427539	1609777135	41.56	Furcifer pardalis	Sarcopterygii	Lepidosauria				Squamata	PacBio HiFi
GCA_030412105.1	118683	2023-07-07	58	112814430	19452413	30	291724653	33437332	1983631412	32.04	Cyclura pinguis	Sarcopterygii	Lepidosauria				Squamata	PacBio HiFi
GCA_029215775.1	2202111	2023-03-14	155	120109455	26493729	134	275917861	120678466	1890507581	38.83	Anniella stebbinsi	Sarcopterygii	Lepidosauria				Squamata	PacBio HiFi
GCA_023053635.2	159646	2024-01-04	108	85762895	10599774	35	121985326	33443543	1790519499	39.99	Elgaria multicarinata webbii	Sarcopterygii	Lepidosauria				Squamata	PacBio HiFi
GCA_009819535.1	80427	2019-12-31	408	6613248	1700075	29	86565987	43910048	1391406172	34.14	Lacerta agilis	Sarcopterygii	Lepidosauria				Squamata	PacBio CLR
GCA_027172205.1	65483	2022-12-27	57	61439401	17461228	27	93623253	45100313	1513131503	37.84	Podarcis raffonei	Sarcopterygii	Lepidosauria				Squamata	PacBio HiFi
GCA_951804945.1	1330250	2023-06-02	98	65743000	10682484	51	94621998	46264000	1507627055	38.22	Podarcis cretensis	Sarcopterygii	Lepidosauria				Squamata	PacBio HiFi
GCA_964188175.1	65484	2024-06-21	1056	3060007	941915	294	94541350	41588189	1571381643	39.94	Podarcis siculus	Sarcopterygii	Lepidosauria				Squamata	PacBio HiFi
GCA_964188315.1	64176	2024-06-21	1012	3229453	932193	185	91987695	45567418	1522641370	37.25	Podarcis muralis	Sarcopterygii	Lepidosauria				Squamata	PacBio HiFi
GCA_964188305.1	90520	2024-06-21	1512	2681335	688477	507	94948854	47303489	1615206822	40.93	Podarcis bocagei	Sarcopterygii	Lepidosauria				Squamata	PacBio HiFi
GCA_964106915.2	90521	2024-09-17	1094	2858450	867886	211	91932266	46853165	1514643635	37.77	Podarcis gaigeae	Sarcopterygii	Lepidosauria				Squamata	PacBio HiFi
GCA_964106645.2	74359	2024-07-06	1842	1611619	442811	336	91584625	45556814	1515373509	37.57	Podarcis pityusensis	Sarcopterygii	Lepidosauria				Squamata	PacBio HiFi
GCA_964252035.1	140042	2024-08-31	1162	3226442	886564	326	93518625	45602830	1495994634	38.12	Podarcis erhardii	Sarcopterygii	Lepidosauria				Squamata	PacBio HiFi
GCA_964234715.1	65482	2024-08-31	1209	3027832	721180	386	91073809	41619636	1574923724	39.72	Podarcis melisellensis	Sarcopterygii	Lepidosauria				Squamata	PacBio HiFi
GCA_964270895.1	65481	2024-09-29	1221	3042058	777859	349	91563485	43069688	1506966124	37.49	Podarcis filfolensis	Sarcopterygii	Lepidosauria				Squamata	PacBio HiFi
