accession	tax_id	technology	date	species	assembly_size	class	group
GCA_964205295.1	8348	HiFi	2024-07-29	Bombina variegata	9369791316	Amphibia	frogs & toads
GCA_964211825.1	219593	HiFi	2024-07-31	Aythya ferina	1252319576	Aves	birds
GCA_964211835.1	8843	HiFi	2024-07-31	Anser anser	1313455045	Aves	birds
GCA_964212035.2	109481	HiFi	2025-03-28	Myotis nattereri	2138592721	Mammalia	bats
GCA_964213995.1	112232	HiFi	2024-08-22	Mustelus asterias	3679792345	Chondrichthyes	sharks & rays
GCA_964234715.1	65482	HiFi	2024-08-31	Podarcis melisellensis	1574923724	Lepidosauria	lizards & snakes
GCA_964237585.1	9123	HiFi	2024-08-31	Gallinula chloropus	1282411533	Aves	birds
GCA_964252035.1	140042	HiFi	2024-08-31	Podarcis erhardii	1495994634	Lepidosauria	lizards & snakes
GCA_964261635.1	256425	HiFi	2024-10-17	Lissotriton helveticus	23170028842	Amphibia	salamanders
GCA_964263255.1	8324	HiFi	2024-10-17	Lissotriton vulgaris	24226223864	Amphibia	salamanders
GCA_964263955.1	59291	HiFi	2024-09-15	Coregonus lavaretus	2842862595	Actinopteri	bony fishes
GCA_964264875.2	59465	HiFi	2025-04-03	Nyctalus leisleri	2226338041	Mammalia	bats
GCA_964266715.1	106175	HiFi	2024-09-26	Microstomus kitt	752333918	Actinopteri	bony fishes
GCA_964270895.1	65481	HiFi	2024-09-29	Podarcis filfolensis	1506966124	Lepidosauria	lizards & snakes
GCA_964270905.1	3371109	HiFi	2024-09-29	Leucopleurus acutus	2676209414	Mammalia	whales & dolphins
GCA_964271855.1	83528	HiFi	2024-10-03	Acomys minous	2350237540	Mammalia	rodents
GCA_964273445.1	177147	HiFi	2024-10-04	Streptopelia decaocto	1290957608	Aves	birds
GCA_964273705.1	2025560	HiFi	2024-10-05	Natrix helvetica	1777516490	Lepidosauria	snakes
GCA_964276395.1	69293	HiFi	2024-10-28	Gasterosteus aculeatus	511155287	Actinopteri	bony fishes
GCA_964289735.1	37045	HiFi	2024-10-28	Phaethon aethereus	1321027743	Aves	birds
GCA_964339955.1	412090	HiFi	2024-11-14	Pipistrellus hanaki	1892221984	Mammalia	bats
GCA_964341445.1	52113	HiFi	2024-11-28	Mesoplodon mirus	3442419404	Mammalia	whales & dolphins
GCA_964374135.1	83653	HiFi	2024-11-29	Grampus griseus	2667081928	Mammalia	whales & dolphins
GCA_964374335.1	8154	ONT	2024-12-01	Astatotilapia calliptera	933429770	Actinopteri	bony fishes
GCA_964417175.1	35669	HiFi	2024-12-05	Larus argentatus	1417856064	Aves	birds
GCA_964638095.1	88708	HiFi	2025-01-02	Poromitra crassiceps	1630001977	Actinopteri	bony fishes
GCA_964656225.1	59473	HiFi	2025-01-02	Pipistrellus nathusii	1916223105	Mammalia	bats
GCA_964656455.1	9711	HiFi	2025-01-02	Halichoerus grypus	2400078677	Mammalia	carnivores
GCA_964662115.1	36239	HiFi	2025-01-03	Mustela nivalis	3437873602	Mammalia	carnivores
GCA_965112155.1	662736	HiFi	2025-01-23	Podarcis liolepis	1574020868	Lepidosauria	lizards & snakes
GCA_965113295.1	58325	HiFi	2025-01-24	Leuciscus leuciscus	1198377133	Actinopteri	bony fishes
GCA_965113315.1	140051	HiFi	2025-01-24	Podarcis vaucheri	1614928384	Lepidosauria	lizards & snakes
GCA_965115925.1	109480	HiFi	2025-01-24	Myotis emarginatus	2109797427	Mammalia	bats
GCA_965119305.1	45623	HiFi	2025-02-11	Pelophylax lessonae	5811246175	Amphibia	frogs & toads
GCA_965140235.1	8467	HiFi	2025-02-13	Caretta caretta	2217236305		turtles
GCA_965140245.1	126797	HiFi	2025-02-13	Athene noctua	1355875761	Aves	birds
GCA_965140285.1	8472	HiFi	2025-03-26	Lepidochelys kempii	2219022919		turtles
GCA_965140295.1	27788	HiFi	2025-02-13	Lepidochelys olivacea	2206585630		turtles
GCA_965140915.1	189534	HiFi	2025-02-13	Aythya marila	1224533240	Aves	birds
GCA_965151615.1	110926	HiFi	2025-02-15	Cygnus columbianus	1293538149	Aves	birds
GCA_965152235.1	27787	HiFi	2025-04-10	Eretmochelys imbricata	2218003986		turtles
GCA_965152275.1	27790	HiFi	2025-02-16	Natator depressus	2173446978		turtles
GCA_965153285.1	65485	HiFi	2025-02-26	Podarcis tiliguerta	1462327121	Lepidosauria	lizards & snakes
GCA_965178545.1	30423	HiFi	2025-03-04	Coloeus monedula	1263996688	Aves	birds
GCA_965183815.1	257867	HiFi	2025-03-04	Platalea leucorodia	1345843103	Aves	birds
GCA_965194805.1	9768	HiFi	2025-03-10	Balaenoptera borealis	3234573494	Mammalia	whales & dolphins
GCA_965194825.1	9770	HiFi	2025-03-10	Balaenoptera physalus	3442554901	Mammalia	whales & dolphins
GCA_965226115.1	286572	ONT	2025-03-27	Aulonocara stuartgranti	945383024	Actinopteri	bony fishes
GCA_965226575.1	8173	HiFi	2025-03-28	Pagrus pagrus	825699107	Actinopteri	bony fishes
GCA_965231255.1	100859	HiFi	2025-03-28	Vanellus vanellus	1476623026	Aves	birds
GCA_965231275.1	43581	HiFi	2025-03-28	Zosterops lateralis	1143512649	Aves	birds
GCA_965231335.1	8853	HiFi	2025-03-29	Branta canadensis	1311899232	Aves	birds
GCF_003369695.1	30522	CLR	2018-11-30	Bos indicus x Bos taurus	2680953056	Mammalia	even-toed ungulates & whales
GCF_003957555.1	9244	CLR	2019-05-16	Calypte anna	1059687259	Aves	birds
GCF_004027225.2	2489341	CLR	2020-03-04	Strigops habroptila	1148597545	Aves	birds
GCF_004115215.2	9258	CLR	2020-11-06	Ornithorhynchus anatinus	1859281927	Mammalia	monotremes
GCF_004115265.2	59479	CLR	2019-05-16	Rhinolophus ferrumequinum	2075768562	Mammalia	bats
GCF_004126475.2	89673	CLR	2020-05-12	Phyllostomus discolor	2108832841	Mammalia	bats
GCF_007364275.1	63155	CLR	2019-08-01	Archocentrus centrarchus	932930362	Actinopteri	bony fishes
GCF_007399415.2	1825980	CLR	2019-07-25	Gopherus evgoodei	2298564209		turtles
GCF_007474595.2	61383	CLR	2020-07-14	Lynx canadensis	2407810255	Mammalia	carnivores
GCF_008692025.1	42100	CLR	2019-09-26	Phocoena sinus	2371524154	Mammalia	whales & dolphins
GCF_009650955.1	1196302	CLR	2019-11-14	Corvus moneduloides	1112734094	Aves	birds
GCF_009762305.2	9704	CLR	2020-07-14	Zalophus californianus	2409685272	Mammalia	carnivores
GCF_009762535.1	1203425	CLR	2019-12-18	Notolabrus celidotus	846744125	Actinopteri	bony fishes
GCF_009764475.1	685728	CLR	2019-12-19	Pristis pectinata	2267840987	Chondrichthyes	sharks & rays
GCF_009764565.3	27794	CLR	2021-08-25	Dermochelys coriacea	2164762090		turtles
GCF_009769535.1	35005	CLR	2019-12-23	Thamnophis elegans	1672190305	Lepidosauria	snakes
GCF_009769545.1	8103	CLR	2019-12-23	Cyclopterus lumpus	572885595	Actinopteri	bony fishes
GCF_009769625.2	8869	CLR	2021-03-31	Cygnus olor	1134186642	Aves	birds
GCF_009819535.1	80427	CLR	2019-12-31	Lacerta agilis	1391404169	Lepidosauria	lizards & snakes
GCF_009819655.1	48155	CLR	2019-12-31	Sylvia atricapilla	1066804524	Aves	birds
GCF_009819705.1	8267	CLR	2019-12-31	Hippoglossus hippoglossus	596792615	Actinopteri	bony fishes
GCF_009819795.1	219594	CLR	2019-12-31	Aythya fuligula	1127004725	Aves	birds
GCF_009819885.2	91951	CLR	2020-12-22	Catharus ustulatus	1131616530	Aves	birds
GCF_009829125.3	409849	CLR	2023-03-21	Periophthalmus magnuspinnatus	752605561	Actinopteri	bony fishes
GCF_009829145.1	296741	CLR	2020-01-03	Chiroxiphia lanceolata	1089631598	Aves	birds
GCF_009829155.1	36723	CLR	2020-01-03	Mustela erminea	2445217270	Mammalia	carnivores
GCF_009873245.2	9771	CLR	2020-10-02	Balaenoptera musculus	2374868943	Mammalia	whales & dolphins
GCF_010909765.2	386614	CLR	2020-02-21	Amblyraja radiata	2558784953	Chondrichthyes	sharks & rays
GCF_011004845.1	8010	CLR	2020-03-05	Esox lucius	918748614	Actinopteri	bony fishes
GCF_011100635.1	9337	CLR	2020-03-10	Trichosurus vulpecula	3359347707	Mammalia	marsupials
GCF_011100685.1	9615	CLR	2020-03-10	Canis lupus	2481983352	Mammalia	carnivores
GCF_011762595.1	9739	CLR	2020-03-27	Tursiops truncatus	2378522213	Mammalia	whales & dolphins
GCF_012275295.1	13146	CLR	2020-04-13	Melopsittacus undulatus	1171617451	Aves	birds
GCF_013347855.1	7936	CLR	2020-06-18	Anguilla anguilla	979045926	Actinopteri	bony fishes
GCF_013368585.1	118141	CLR	2020-06-23	Megalops cyprinoides	959258046	Actinopteri	bony fishes
GCF_013368605.1	48427	CLR	2020-06-23	Nyctibius grandis	1256393467	Aves	birds
GCF_014108235.1	51298	CLR	2020-08-07	Myotis myotis	2002797769	Mammalia	bats
GCF_014108245.1	59472	CLR	2020-08-07	Pipistrellus kuhlii	1775688541	Mammalia	bats
GCF_014108415.1	27622	CLR	2020-08-07	Molossus molossus	2315568481	Mammalia	bats
GCF_014176215.1	9407	CLR	2020-08-07	Rousettus aegyptiacus	1893602072	Mammalia	bats
GCF_014839835.1	118200	CLR	2020-10-02	Dryobates pubescens	1187939694	Aves	birds
GCF_015220075.1	120794	CLR	2020-11-03	Falco rusticolus	1195847496	Aves	birds
GCF_015220235.1	27675	CLR	2020-11-03	Choloepus didactylus	3214702648	Mammalia	placentals
GCF_015220715.1	42514	CLR	2020-11-03	Pygocentrus nattereri	1222050449	Actinopteri	bony fishes
GCF_015220745.1	72105	CLR	2020-11-03	Sebastes umbrosus	800904020	Actinopteri	bony fishes
GCF_015220805.1	488313	CLR	2020-11-03	Pogoniulus pusillus	1272338968	Aves	birds
GCF_015227675.2	10116	CLR	2020-11-10	Rattus norvegicus	2647915728	Mammalia	rodents
GCF_015227805.1	43150	CLR	2021-03-02	Hirundo rustica	1105955550	Aves	birds
GCF_015237465.2	8469	CLR	2021-07-15	Chelonia mydas	2134375114		turtles
GCF_015852505.1	9261	CLR	2020-12-09	Tachyglossus aculeatus	2213004214	Mammalia	monotremes
GCF_016700215.2	9031	CLR	2021-10-01	Gallus gallus	1050511239	Aves	birds
GCF_017639515.1	13397	CLR	2021-03-30	Carcharodon carcharias	4286311191	Chondrichthyes	sharks & rays
GCF_017639655.2	148594	CLR	2021-03-30	Falco naumanni	1215719661	Aves	birds
GCF_017639745.1	1250792	CLR	2021-03-30	Melanotaenia boesemani	865592457	Actinopteri	bony fishes
GCF_017976325.1	109905	CLR	2021-04-15	Chelmon rostratus	644208431	Actinopteri	bony fishes
GCF_017976375.1	55661	CLR	2021-04-15	Cuculus canorus	1180136575	Aves	birds
GCF_017976425.1	941984	CLR	2021-04-15	Toxotes jaculatrix	621503431	Actinopteri	bony fishes
GCF_018492685.1	34773	HiFi	2021-05-25	Alosa sapidissima	903581644	Actinopteri	bony fishes
GCF_019393635.1	33562	CLR	2021-08-03	Dromiciops gliroides	3303199800	Mammalia	marsupials
GCF_020382885.2	75038	CLR	2021-10-13	Scatophagus argus	570802272	Actinopteri	bony fishes
GCF_020740605.2	9447	HiFi	2021-11-04	Lemur catta	2245601549	Mammalia	primates
GCF_020740685.1	51337	CLR	2021-11-04	Jaculus jaculus	2863865261	Mammalia	rodents
GCF_020740725.1	134902	HiFi	2021-11-04	Corvus hawaiiensis	1151611379	Aves	birds
GCF_020740795.1	8895	CLR	2021-11-04	Apus apus	1100378261	Aves	birds
GCF_020745735.1	170820	CLR	2021-11-05	Hemiscyllium ocellatum	3983466396	Chondrichthyes	sharks & rays
GCF_020745825.1	39638	HiFi	2023-03-15	Agelaius phoeniceus	1188547179	Aves	birds
GCF_020826845.1	77932	HiFi	2021-11-10	Diceros bicornis	3005535620	Mammalia	odd-toed ungulates
GCF_021462225.1	208333	CLR	2022-02-24	Girardinichthys multiradiatus	1150004004	Actinopteri	bony fishes
GCF_023053635.1	159646	HiFi	2024-01-04	Elgaria multicarinata	1790500004	Lepidosauria	lizards & snakes
GCF_023343835.1	64668	HiFi	2022-05-12	Lagopus muta	1026771810	Aves	birds
GCF_023375975.1	7994	HiFi	2022-05-19	Astyanax mexicanus	1373169186	Actinopteri	bony fishes
GCF_023634085.1	345164	HiFi	2022-06-02	Falco cherrug	1309385023	Aves	birds
GCF_023634155.1	8954	HiFi	2022-06-02	Falco peregrinus	1311598859	Aves	birds
GCF_023638135.1	345155	HiFi	2022-06-02	Falco biarmicus	1285492283	Aves	birds
GCF_024139225.1	109475	CLR	2022-07-06	Suncus etruscus	2471666657	Mammalia	insectivores
GCF_024166365.1	99487	HiFi	2022-07-06	Elephas maximus	3401247148	Mammalia	placentals
GCF_025201925.1	286002	CLR	2022-09-15	Gopherus flavomarginatus	2460542086		turtles
GCF_025265405.1	48708	HiFi	2022-09-19	Mesoplodon densirostris	2683391478	Mammalia	whales & dolphins
GCF_026419915.1	202280	HiFi	2022-11-27	Harpia harpyja	1351447071	Aves	hawks & eagles
GCF_026419965.1	27615	HiFi	2022-11-27	Kogia breviceps	2555855246	Mammalia	whales & dolphins
GCF_026979565.1	81927	HiFi	2022-12-21	Vidua chalybeata	1080440577	Aves	birds
GCF_027172205.1	65483	HiFi	2022-12-27	Podarcis raffonei	1513131503	Lepidosauria	lizards & snakes
GCF_027358585.1	310915	HiFi	2022-12-28	Pangasianodon hypophthalmus	764974446	Actinopteri	bony fishes
GCF_027358695.1	233779	HiFi	2022-12-27	Spea bombifrons	987655159	Amphibia	frogs & toads
GCF_027406575.1	9470	HiFi	2022-12-28	Nycticebus coucang	2917154053	Mammalia	primates
GCF_027409185.1	110931	HiFi	2022-12-28	Cynocephalus volans	2814418120	Mammalia	placentals
GCF_027409825.1	13676	HiFi	2022-12-28	Scomber japonicus	828681152	Actinopteri	bony fishes
GCF_027477595.1	30427	HiFi	2022-12-29	Haemorhous mexicanus	1148233018	Aves	birds
GCF_027574615.1	29078	CLR	2023-01-09	Eptesicus fuscus	2008057866	Mammalia	bats
GCF_027579445.1	2857394	HiFi	2023-01-09	Ammospiza nelsoni	1185463352	Aves	birds
GCF_027579695.1	443677	HiFi	2023-01-09	Neoarius graeffei	2341916362	Actinopteri	bony fishes
GCF_027579735.1	8345	CLR	2023-01-09	Bombina bombina	10019663791	Amphibia	frogs & toads
GCF_027595985.1	42254	HiFi	2023-01-09	Sorex araneus	2405993548	Mammalia	insectivores
GCF_027789765.1	150705	CLR	2023-01-13	Dendropsophus ebraccatus	2214937069	Amphibia	frogs & toads
GCF_027887145.1	2857398	HiFi	2023-01-18	Ammospiza caudacuta	1241209685	Aves	birds
GCF_027887155.1	2991368	HiFi	2023-01-18	Malaclemys terrapin	2211221380		turtles
GCF_027887165.1	13616	HiFi	2023-01-18	Monodelphis domestica	3586166573	Mammalia	marsupials
GCF_028017835.1	82168	HiFi	2023-01-30	Emys orbicularis	2309740635		turtles
GCF_028018385.1	61452	HiFi	2023-01-31	Neofelis nebulosa	2468345093	Mammalia	carnivores
GCF_028018845.1	44398	HiFi	2023-01-31	Melospiza georgiana	1162015399	Aves	birds
GCF_028021215.1	9764	HiFi	2023-01-31	Eschrichtius robustus	2982418581	Mammalia	whales & dolphins
GCF_028023285.1	2746895	HiFi	2023-01-30	Balaenoptera ricei	2678442663	Mammalia	whales & dolphins
GCF_028372415.1	9315	HiFi	2023-02-06	Notamacropus eugenii	3447464908	Mammalia	marsupials
GCF_028389875.1	8795	HiFi	2023-02-06	Rhea pennata	1269016774	Aves	birds
GCF_028390025.1	495146	HiFi	2023-02-06	Pseudophryne corroboree	8872758793	Amphibia	frogs & toads
GCF_028500815.1	75485	HiFi	2023-02-09	Rissa tridactyla	1353621101	Aves	birds
GCF_028564815.1	27606	HiFi	2023-02-09	Eubalaena glacialis	2843691573	Mammalia	whales & dolphins
GCF_028583425.1	481883	HiFi	2023-02-10	Eublepharis macularius	2237397408	Lepidosauria	lizards & snakes
GCF_028858705.1	9117	CLR	2023-02-24	Grus americana	1257837975	Aves	birds
GCF_028858725.1	57412	HiFi	2023-02-24	Colius striatus	1212482152	Aves	birds
GCF_028858775.2	9598	HiFi	2024-01-08	Pan troglodytes	3177756316	Mammalia	primates
GCF_028878055.3	9590	HiFi	2024-01-05	Symphalangus syndactylus	3262904224	Mammalia	primates
GCF_028885625.2	9600	HiFi	2024-01-08	Pongo pygmaeus	3220951552	Mammalia	primates
GCF_028885655.2	9601	HiFi	2024-01-05	Pongo abelii	3259870029	Mammalia	primates
GCF_029281585.2	9595	HiFi	2024-01-08	Gorilla gorilla	3545850636	Mammalia	primates
GCF_029289425.2	9597	HiFi	2024-01-08	Pan paniscus	3244905271	Mammalia	primates
GCF_029499605.1	327740	HiFi	2023-04-07	Hyla sarda	4142159359	Amphibia	frogs & toads
GCF_029582105.1	2939378	CLR	2023-04-06	Oenanthe melanoleuca	1036256795	Aves	birds
GCF_029633855.1	27720	HiFi	2024-06-25	Hoplias malabaricus	1186371479	Actinopteri	bony fishes
GCF_029633865.1	2546036	HiFi	2023-04-13	Lampris incognitus	1482357630	Actinopteri	bony fishes
GCF_029931775.1	460621	HiFi	2023-05-15	Euleptes europaea	1781916107	Lepidosauria	lizards & snakes
GCF_030014295.1	9785	HiFi	2023-05-16	Loxodonta africana	3540876381	Mammalia	placentals
GCF_030014385.1	2290929	HiFi	2023-05-16	Trichomycterus rosablanca	1045025885	Actinopteri	bony fishes
GCF_030020395.1	143292	HiFi	2023-05-23	Manis pentadactyla	2840164579	Mammalia	placentals
GCF_030028045.1	575201	HiFi	2023-05-18	Hippopotamus amphibius	2538259262	Mammalia	even-toed ungulates & whales
GCF_030028105.1	1983395	HiFi	2023-05-22	Mobula birostris	4014635230	Chondrichthyes	sharks & rays
GCF_030035675.1	261503	HiFi	2023-05-22	Rhineura floridana	2307419594	Lepidosauria	lizards & snakes
GCF_030144855.1	79690	HiFi	2023-06-05	Hypanus sabinus	4044869043	Chondrichthyes	sharks & rays
GCF_030435755.1	9978	HiFi	2023-07-13	Ochotona princeps	2555444530	Mammalia	rabbits & hares
GCF_030435805.1	9666	HiFi	2023-07-13	Mustela lutreola	2586268927	Mammalia	carnivores
GCF_030445035.2	9361	HiFi	2023-07-13	Dasypus novemcinctus	3610551914	Mammalia	placentals
GCF_030463535.1	930266	HiFi	2023-07-14	Salminus brasiliensis	1066483687	Actinopteri	bony fishes
GCF_030490865.1	48891	HiFi	2023-07-18	Poecile atricapillus	1251133642	Aves	birds
GCF_030684315.1	3053191	HiFi	2023-08-08	Stegostoma tigrinum	3198515386	Chondrichthyes	sharks & rays
GCF_030867095.1	8496	HiFi	2023-08-24	Alligator mississippiensis	2346795873		vertebrates
GCF_030936135.1	37040	HiFi	2023-08-30	Gavia stellata	1321270170	Aves	birds
GCF_031021105.1	121349	HiFi	2023-08-31	Erythrolamprus reginae	1964049041	Lepidosauria	snakes
GCF_032444005.1	111125	HiFi	2023-10-16	Ranitomeya imitator	5956610564	Amphibia	frogs & toads
GCF_035084215.1	212740	HiFi	2024-01-05	Heptranchias perlo	3249915908	Chondrichthyes	sharks & rays
GCF_035149785.1	51853	HiFi	2024-01-18	Candoia aspera	1530810380	Lepidosauria	snakes
GCF_035609145.1	57060	HiFi	2024-01-12	Eleutherodactylus coqui	3371297528	Amphibia	frogs & toads
GCF_035770615.1	1914991	HiFi	2024-01-24	Melospiza melodia	1541245192	Aves	birds
GCF_036013445.1	187106	HiFi	2024-01-26	Caloenas nicobarica	1285834579	Aves	birds
GCF_036013475.1	8932	HiFi	2024-04-08	Columba livia	1325566026	Aves	birds
GCF_036169615.1	472823	HiFi	2024-01-26	Heliangelus exortis	1049650714	Aves	birds
GCF_036172605.1	191477	HiFi	2024-01-26	Pelobates fuscus	3606456729	Amphibia	frogs & toads
GCF_036250125.1	415032	HiFi	2024-01-31	Pseudopipra pipra	1165201947	Aves	birds
GCF_036321535.1	9838	HiFi	2024-01-31	Camelus dromedarius	2306603094	Mammalia	even-toed ungulates & whales
GCF_036365525.1	7792	HiFi	2024-02-06	Heterodontus francisci	6013048672	Chondrichthyes	sharks & rays
GCF_036370855.1	8790	HiFi	2024-02-26	Dromaius novaehollandiae	1468706110	Aves	birds
GCF_036373705.1	7924	HiFi	2024-02-06	Amia calva	989103751	Actinopteri	bony fishes
GCF_036417665.1	48849	HiFi	2024-02-07	Passer domesticus	1310131054	Aves	birds
GCF_036417845.1	2696672	HiFi	2024-02-06	Apteryx mantelli	1504396159	Aves	birds
GCF_036850765.1	59482	CLR	2024-02-26	Saccopteryx bilineata	2612309609	Mammalia	bats
GCF_036850995.1	249018	CLR	2024-02-26	Saccopteryx leptura	2576513769	Mammalia	bats
GCF_036971445.1	1343680	HiFi	2024-03-06	Narcine bancroftii	3328432768	Chondrichthyes	sharks & rays
GCF_037157495.1	678569	HiFi	2024-03-15	Lathamus discolor	1241003407	Aves	birds
GCF_037176765.1	38937	HiFi	2024-03-15	Anolis sagrei	1950830970	Lepidosauria	lizards & snakes
GCF_037176945.1	7897	HiFi	2024-03-18	Latimeria chalumnae	2947609019		coelacanths
GCF_037993035.1	9541	HiFi	2024-04-05	Macaca fascicularis	3042914375	Mammalia	primates
GCF_039877785.1	109706	HiFi	2024-05-29	Chaetodon trifascialis	662489023	Actinopteri	bony fishes
GCF_039906515.1	82174	HiFi	2024-05-31	Pseudorca crassidens	2674592094	Mammalia	whales & dolphins
GCF_040182565.1	8845	HiFi	2024-06-14	Anser cygnoides	1215354515	Aves	birds
GCF_040807025.1	8801	HiFi	2024-07-22	Struthio camelus	1452018929	Aves	birds
GCF_040894005.1	76066	HiFi	2024-07-30	Engystomops pustulosus	2158203323	Amphibia	frogs & toads
GCF_040937935.1	752182	HiFi	2024-07-30	Hyperolius riggenbachi	4915935452	Amphibia	frogs & toads
GCF_040938575.1	8296	HiFi	2024-07-30	Ambystoma mexicanum	29117864639	Amphibia	salamanders
GCF_040954835.1	7918	HiFi	2024-08-01	Lepisosteus oculatus	1200589847	Actinopteri	bony fishes
GCF_042242105.1	3127111	HiFi	2024-09-25	Pempheris klunzingeri	646252061	Actinopteri	bony fishes
GCF_042477335.2	37174	HiFi	2024-10-18	Ovis canadensis	2974283533	Mammalia	even-toed ungulates & whales
GCF_043159975.1	9545	HiFi	2024-10-15	Macaca nemestrina	3116288670	Mammalia	primates
GCF_043641665.1	215367	HiFi	2024-10-30	Enoplosus armatus	579897767	Actinopteri	bony fishes
GCF_044704955.1	55135	HiFi	2024-11-13	Pristiophorus japonicus	5923069295	Chondrichthyes	sharks & rays
GCF_047511675.1	93162	HiFi	2025-02-10	Marmota flaviventris	2704651887	Mammalia	rodents
GCF_048164855.1	143281	HiFi	2025-02-27	Canis lupus	2495589887	Mammalia	carnivores
GCF_900324465.2	64144	CLR	2018-12-19	Anabas testudineus	555658001	Actinopteri	bony fishes
GCF_900324485.2	205130	CLR	2019-03-16	Mastacembelus armatus	591951587	Actinopteri	bony fishes
GCF_900496995.4	223781	CLR	2021-03-26	Aquila chrysaetos	1233704830	Aves	hawks & eagles
GCF_900634415.1	56716	CLR	2019-02-06	Cottoperca gobio	609391784	Actinopteri	bony fishes
GCF_900634625.1	210632	CLR	2019-02-06	Parambassis ranga	551012959	Actinopteri	bony fishes
GCF_900634775.1	441366	CLR	2019-02-06	Gouania willdenowi	937150793	Actinopteri	bony fishes
GCF_900634795.4	158456	CLR	2023-03-10	Betta splendens	427001245	Actinopteri	bony fishes
GCF_900700375.1	299321	CLR	2019-03-16	Denticeps clupeoides	567401054	Actinopteri	bony fishes
GCF_900747795.2	27687	CLR	2021-07-07	Erpetoichthys calabaricus	3613551144	Cladistia	bony fishes
GCF_900880675.1	8175	CLR	2019-07-30	Sparus aurata	833595063	Actinopteri	bony fishes
GCF_900963305.1	173247	CLR	2019-04-11	Echeneis naucrates	544229245	Actinopteri	bony fishes
GCF_900964775.1	113540	CLR	2019-04-11	Scleropages formosus	784563014	Actinopteri	bony fishes
GCF_901000725.2	31033	CLR	2019-06-05	Takifugu rubripes	384126662	Actinopteri	bony fishes
GCF_901001135.1	194408	CLR	2019-06-02	Rhinatrema bivittatum	5319239201	Amphibia	caecilians
GCF_901709675.1	161584	CLR	2020-07-31	Syngnathus acus	324331233	Actinopteri	bony fishes
GCF_902148845.1	181472	CLR	2019-07-03	Salarias fasciatus	797507141	Actinopteri	bony fishes
GCF_902148855.1	375764	CLR	2019-07-03	Sphaeramia orbicularis	1342662642	Actinopteri	bony fishes
GCF_902150065.1	586833	CLR	2019-07-03	Myripristis murdjan	835254674	Actinopteri	bony fishes
GCF_902167405.1	8049	CLR	2019-07-16	Gadus morhua	669966409	Actinopteri	bony fishes
GCF_902362185.1	29144	CLR	2019-08-14	Chanos chanos	656929047	Actinopteri	bony fishes
GCF_902459505.1	260995	CLR	2019-08-18	Geotrypetes seraphini	3779430019	Amphibia	caecilians
GCF_902500255.1	390379	CLR	2019-09-30	Thalassophryne amazonica	2446592878	Actinopteri	bony fishes
GCF_902655055.1	9657	CLR	2020-07-31	Lutra lutra	2438458878	Mammalia	carnivores
GCF_902686445.1	30640	CLR	2020-07-31	Sciurus carolinensis	2815397268	Mammalia	rodents
GCF_902713425.1	7906	HiFi	2022-02-02	Acipenser ruthenus	1899810788	Actinopteri	bony fishes
GCF_902713615.1	7830	CLR	2020-12-17	Scyliorhinus canicula	4220406627	Chondrichthyes	sharks & rays
GCF_903992535.2	1047088	CLR	2021-05-15	Arvicola amphibius	2297766297	Mammalia	rodents
GCF_903995425.1	38674	CLR	2020-08-21	Onychomys torridus	2468394440	Mammalia	rodents
GCF_903995435.1	60746	CLR	2020-08-21	Acomys russatus	2301522284	Mammalia	rodents
GCF_904848185.1	8177	CLR	2020-10-12	Acanthopagrus latus	685144197	Actinopteri	bony fishes
GCF_905171765.1	8384	CLR	2021-01-28	Bufo bufo	5044744194	Amphibia	frogs & toads
GCF_905171775.1	8407	CLR	2021-01-28	Rana temporaria	4111422596	Amphibia	frogs & toads
GCF_910594005.1	9860	HiFi	2021-07-07	Cervus elaphus	2886603524	Mammalia	even-toed ungulates & whales
GCF_910596095.1	8240	HiFi	2021-07-07	Thunnus maccoyii	782423979	Actinopteri	bony fishes
GCF_914725855.1	8236	HiFi	2021-09-16	Thunnus albacares	792101331	Actinopteri	bony fishes
GCF_922984935.1	9662	HiFi	2021-12-19	Meles meles	2738694446	Mammalia	carnivores
GCF_929443795.1	8957	HiFi	2022-02-09	Astur gentilis	1398011397	Aves	hawks & eagles
GCF_937001465.1	9733	HiFi	2022-05-03	Orcinus orca	2647351467	Mammalia	whales & dolphins
GCF_947179515.1	10129	HiFi	2022-10-28	Apodemus sylvaticus	2889785202	Mammalia	rodents
GCF_947347685.1	8262	HiFi	2022-11-29	Pleuronectes platessa	687388084	Actinopteri	bony fishes
GCF_947461875.1	8969	HiFi	2022-12-06	Haliaeetus albicilla	1320315924	Aves	hawks & eagles
GCF_949316205.1	8260	HiFi	2023-04-05	Platichthys flesus	597120941	Actinopteri	bony fishes
GCF_949316345.1	134920	HiFi	2023-04-08	Pungitius pungitius	480434100	Actinopteri	bony fishes
GCF_949774975.1	27610	HiFi	2023-04-08	Lagenorhynchus albirostris	2544835795	Mammalia	whales & dolphins
GCF_949987515.2	9728	HiFi	2024-09-07	Delphinus delphis	2663516986	Mammalia	whales & dolphins
GCF_949987535.1	9767	HiFi	2023-05-01	Balaenoptera acutorostrata	2772885358	Mammalia	whales & dolphins
GCF_950005125.1	269649	HiFi	2023-05-01	Chionomys nivalis	2393390621	Mammalia	rodents
GCF_950295315.1	9365	HiFi	2023-05-01	Erinaceus europaeus	2720683831	Mammalia	insectivores
