accession	contig_n50	scaffold_n50	compleasm_complete	compleasm_single	compleasm_dup	compleasm_retro	compleasm_fragmented	compleasm_missing	compleasm_frameshift	project	type	seq
015104315	5269	8618	1807	1798	8	1	1107	455	55	Other	Other	Illumina
015104335	7084	10568	1976	1966	9	1	1018	379	62	Other	Other	Illumina
015104355	7524	12581	2012	1999	12	1	992	373	82	Other	Other	Illumina
015104375	6350	11019	1933	1924	9	0	1047	394	94	Other	Other	Illumina
015104405	8373	17371	2295	2286	7	2	843	234	109	Other	Other	Illumina
015104425	9461	21364	2511	2504	7	0	700	170	105	Other	Other	Illumina
015104445	5495	13354	2117	2110	4	3	955	297	201	Other	Other	Illumina
015104465	7850	17227	2327	2316	10	1	825	230	150	Other	Other	Illumina
015104495	7107	20288	2393	2384	8	1	777	207	188	Other	Other	Illumina
015104515	12577	25573	2578	2563	14	1	647	157	92	Other	Other	Illumina
015104535	8427	20905	2452	2439	13	0	748	180	137	Other	Other	Illumina
015104555	6496	17050	2299	2290	9	0	861	219	197	Other	Other	Illumina
015104565	7877	24055	2519	2506	13	0	694	170	165	Other	Other	Illumina
015104595	9207	19398	2389	2380	9	0	800	189	97	Other	Other	Illumina
015104615	7660	16891	2282	2274	8	0	867	227	92	Other	Other	Illumina
015104635	7919	18754	2370	2357	13	0	804	202	152	Other	Other	Illumina
015104655	8441	17144	2356	2346	10	0	801	222	121	Other	Other	Illumina
015104675	7535	17828	2345	2334	10	1	806	227	150	Other	Other	Illumina
015104695	7157	14903	2210	2198	12	0	904	264	123	Other	Other	Illumina
015104715	8575	15853	2337	2325	12	0	799	241	85	Other	Other	Illumina
015104735	7597	14583	2224	2214	10	0	877	271	101	Other	Other	Illumina
015104745	8508	19013	2351	2339	11	1	795	232	130	Other	Other	Illumina
015104775	6433	14453	2210	2199	11	0	888	275	170	Other	Other	Illumina
015104795	6980	11695	2010	2005	5	0	981	378	80	Other	Other	Illumina
015104815	5857	11391	2029	2016	13	0	999	345	142	Other	Other	Illumina
015104835	5283	9556	1814	1808	6	0	1073	485	124	Other	Other	Illumina
015104855	7270	14843	2228	2219	9	0	885	261	110	Other	Other	Illumina
015104875	6771	17380	2357	2348	8	1	789	236	167	Other	Other	Illumina
015104895	5613	11410	1991	1983	8	0	1021	358	146	Other	Other	Illumina
015104915	5621	8766	1903	1898	5	0	1140	328	76	Other	Other	Illumina
015104925	7763	14761	2241	2233	7	1	882	254	96	Other	Other	Illumina
015104955	5944	11588	2034	2027	7	0	1010	328	136	Other	Other	Illumina
015104975	5159	12215	2008	2002	5	1	1050	307	253	Other	Other	Illumina
015104995	9729	18895	2392	2384	8	0	785	201	98	Other	Other	Illumina
015105015	9606	19482	2413	2406	7	0	762	205	100	Other	Other	Illumina
015105035	5984	16378	2256	2248	8	0	831	286	212	Other	Other	Illumina
015105055	8475	15601	2312	2301	10	1	834	234	113	Other	Other	Illumina
015105075	7215	14368	2189	2180	9	0	912	273	134	Other	Other	Illumina
015105095	6554	16149	2240	2232	7	1	875	258	184	Other	Other	Illumina
015105115	6244	12656	2089	2083	6	0	992	297	138	Other	Other	Illumina
015105135	7725	14457	2229	2220	8	1	894	251	112	Other	Other	Illumina
015105155	7670	15820	2240	2230	9	1	898	237	129	Other	Other	Illumina
015105175	5802	14465	2194	2187	6	1	905	273	214	Other	Other	Illumina
015105195	9218	21236	2477	2467	10	0	737	168	126	Other	Other	Illumina
015105215	6032	14447	2162	2154	7	1	957	254	86	Other	Other	Illumina
015105235	7018	18184	2330	2323	7	0	854	194	174	Other	Other	Illumina
015105255	12456	25202	2558	2551	6	1	675	146	73	Other	Other	Illumina
015105275	7150	19295	2331	2324	7	0	815	228	221	Other	Other	Illumina
015105295	10045	18363	2382	2370	12	0	797	203	67	Other	Other	Illumina
015105315	6345	15125	2206	2197	9	0	890	279	178	Other	Other	Illumina
015105335	10025	18997	2409	2402	6	1	752	218	91	Other	Other	Illumina
015105355	7632	14879	2240	2232	6	2	880	255	127	Other	Other	Illumina
015105375	8041	15481	2255	2248	7	0	881	241	111	Other	Other	Illumina
015105395	8532	18026	2355	2345	9	1	808	217	131	Other	Other	Illumina
015105415	7546	13791	2191	2187	4	0	921	264	103	Other	Other	Illumina
015105435	9685	19804	2430	2418	12	0	773	178	97	Other	Other	Illumina
015105455	6854	13279	2143	2131	12	0	947	280	124	Other	Other	Illumina
015105475	8585	22433	2467	2453	13	1	734	174	153	Other	Other	Illumina
015105495	10910	19109	2389	2380	8	1	782	208	53	Other	Other	Illumina
015105515	5851	17348	2266	2257	9	0	859	251	258	Other	Other	Illumina
015105535	7088	16361	2288	2281	7	0	836	249	136	Other	Other	Illumina
015105555	6598	15974	2267	2257	10	0	855	252	169	Other	Other	Illumina
015105575	5771	12733	2093	2087	6	0	971	311	117	Other	Other	Illumina
015105585	8430	21289	2462	2452	10	0	736	177	145	Other	Other	Illumina
015105615	9156	22774	2510	2499	10	1	702	171	109	Other	Other	Illumina
015105635	7316	15006	2232	2221	11	0	892	257	97	Other	Other	Illumina
015105655	9597	23755	2508	2495	13	0	710	162	152	Other	Other	Illumina
015105675	8776	14323	2238	2225	13	0	899	238	65	Other	Other	Illumina
015105695	10655	23285	2549	2541	8	0	671	159	94	Other	Other	Illumina
015105715	8956	21523	2455	2448	7	0	744	179	166	Other	Other	Illumina
015105735	12200	24685	2565	2555	10	0	655	156	82	Other	Other	Illumina
015105755	8556	15101	2252	2243	9	0	876	245	106	Other	Other	Illumina
015105775	5645	14986	2186	2180	6	0	915	271	187	Other	Other	Illumina
015105815	161191	44667526	3357	3310	13	34	24	7	58	Other	Other	Illumina
015105835	162643	39484061	3357	3312	10	35	24	8	57	Other	Other	Illumina
015105895	6690	13366	2179	2172	7	0	914	284	108	Other	Other	Illumina
015105915	5610	12428	2165	2158	7	0	945	264	129	Other	Other	Illumina
015105935	9596	15573	2318	2307	9	2	854	205	66	Other	Other	Illumina
015105955	7873	15727	2296	2285	10	1	844	230	93	Other	Other	Illumina
015105975	10331	18043	2332	2325	6	1	844	203	55	Other	Other	Illumina
015105995	10255	17148	2342	2335	7	0	841	200	54	Other	Other	Illumina
015106015	7752	15201	2273	2264	9	0	881	227	127	Other	Other	Illumina
015106035	8744	17134	2340	2328	12	0	821	218	94	Other	Other	Illumina
015106055	9692	21192	2469	2462	7	0	735	173	133	Other	Other	Illumina
015106075	12300	25951	2567	2555	12	0	668	145	85	Other	Other	Illumina
015106095	10130	18982	2421	2413	8	0	775	183	92	Other	Other	Illumina
015106115	6137	14336	2143	2137	5	1	956	275	173	Other	Other	Illumina
015106135	7368	14513	2202	2196	6	0	877	298	103	Other	Other	Illumina
015106155	6892	12786	2107	2099	7	1	1007	263	129	Other	Other	Illumina
015106175	7406	14497	2256	2247	7	2	885	228	113	Other	Other	Illumina
015106195	8483	18284	2400	2392	8	0	790	193	96	Other	Other	Illumina
015106215	8883	17278	2376	2356	19	1	800	204	92	Other	Other	Illumina
015106235	5676	15118	2206	2196	9	1	912	262	220	Other	Other	Illumina
015106255	11849	26743	2611	2598	13	0	617	154	91	Other	Other	Illumina
015106275	6173	20040	2356	2346	10	0	810	214	218	Other	Other	Illumina
015106295	7238	13602	2056	2047	9	0	939	387	102	Other	Other	Illumina
015106315	9004	22833	2485	2472	13	0	738	156	155	Other	Other	Illumina
015106335	7457	13339	2168	2163	4	1	960	249	106	Other	Other	Illumina
015106355	6266	11129	1955	1947	8	0	1039	383	125	Other	Other	Illumina
015106375	5379	13987	2177	2166	11	0	916	275	195	Other	Other	Illumina
015106395	6585	12855	2152	2143	9	0	946	272	133	Other	Other	Illumina
015106415	7107	19750	2364	2347	17	0	794	217	220	Other	Other	Illumina
015106425	6400	14633	2245	2239	6	0	882	251	177	Other	Other	Illumina
015106455	9060	18689	2409	2401	8	0	766	204	91	Other	Other	Illumina
015106475	8978	17590	2288	2280	8	0	862	225	115	Other	Other	Illumina
015106495	9451	21783	2479	2471	8	0	718	181	137	Other	Other	Illumina
015106515	6511	11936	2050	2041	8	1	1031	291	123	Other	Other	Illumina
015106535	6194	16229	2238	2228	10	0	844	285	188	Other	Other	Illumina
015106555	7127	13129	2148	2139	9	0	988	236	89	Other	Other	Illumina
015106575	12422	23944	2547	2532	14	1	688	145	59	Other	Other	Illumina
015106585	8327	16923	2337	2329	8	0	831	212	104	Other	Other	Illumina
015106615	10651	19521	2437	2431	6	0	776	164	86	Other	Other	Illumina
015106635	10750	18930	2474	2463	9	2	736	170	76	Other	Other	Illumina
015106655	10351	29145	2691	2680	10	1	559	131	121	Other	Other	Illumina
015106675	13274	27743	2608	2595	12	1	650	126	64	Other	Other	Illumina
015106695	11620	20245	2479	2465	13	1	743	158	60	Other	Other	Illumina
015106715	9052	28157	2586	2576	9	1	651	144	70	Other	Other	Illumina
015106735	9481	21263	2352	2344	6	2	847	178	61	Other	Other	Illumina
015106755	12660	33462	2720	2712	8	0	555	108	88	Other	Other	Illumina
015106775	10520	18345	2158	2149	8	1	985	239	74	Other	Other	Illumina
015106795	11961	22844	2508	2499	9	0	708	164	65	Other	Other	Illumina
015106815	7847	14755	2254	2247	7	0	900	222	109	Other	Other	Illumina
015106835	4721	8083	1597	1592	5	0	1258	517	161	Other	Other	Illumina
015106855	7887	14890	2264	2255	9	0	901	217	116	Other	Other	Illumina
015106875	5471	12131	2057	2050	6	1	998	321	130	Other	Other	Illumina
015106895	7523	15765	2299	2290	9	0	847	233	88	Other	Other	Illumina
015106915	7749	17400	2357	2348	9	0	818	201	106	Other	Other	Illumina
015106935	6807	15481	2231	2222	9	0	890	247	137	Other	Other	Illumina
015106955	8476	21112	2475	2463	12	0	742	164	152	Other	Other	Illumina
015106975	9226	19663	2427	2419	8	0	747	204	126	Other	Other	Illumina
015106995	6737	15782	2245	2234	11	0	850	276	109	Other	Other	Illumina
015107015	11917	24524	2559	2549	10	0	676	147	70	Other	Other	Illumina
015107025	8256	20607	2423	2412	11	0	727	228	133	Other	Other	Illumina
015107055	8049	20185	2438	2428	10	0	753	185	159	Other	Other	Illumina
015107075	10647	19014	2436	2423	13	0	739	202	75	Other	Other	Illumina
015107095	8305	14345	2274	2265	8	1	845	251	96	Other	Other	Illumina
015107115	7635	17330	2353	2346	7	0	822	204	185	Other	Other	Illumina
015107135	5919	15719	2223	2215	8	0	881	271	173	Other	Other	Illumina
015107155	9151	19199	2384	2376	8	0	781	215	101	Other	Other	Illumina
015107175	160233	32560710	3354	3294	26	34	29	7	71	Other	Other	Illumina
015107195	156808	39341185	3349	3302	13	34	31	10	65	Other	Other	Illumina
015107215	11088	23397	2538	2531	7	0	686	155	73	Other	Other	Illumina
015107235	10394	23083	2565	2556	8	1	669	144	80	Other	Other	Illumina
015107255	7494	14676	2213	2208	5	0	912	247	120	Other	Other	Illumina
015107295	9005	23414	2524	2519	5	0	697	164	122	Other	Other	Illumina
015107315	8724	17899	2381	2369	12	0	804	199	113	Other	Other	Illumina
015107335	5747	13421	2150	2144	6	0	943	285	200	Other	Other	Illumina
015107355	9055	18069	2401	2390	11	0	765	212	96	Other	Other	Illumina
015107375	8143	14892	2260	2248	12	0	876	244	76	Other	Other	Illumina
015107395	6303	12451	2119	2116	3	0	946	314	105	Other	Other	Illumina
015107415	6465	12283	2074	2068	5	1	1025	271	168	Other	Other	Illumina
015107425	6687	13589	2190	2181	9	0	919	259	135	Other	Other	Illumina
015107455	6717	13571	2179	2170	8	1	937	259	153	Other	Other	Illumina
015107475	6991	15213	2193	2183	7	3	924	252	158	Other	Other	Illumina
015107495	9145	16639	2289	2278	8	3	872	215	72	Other	Other	Illumina
015107505	11878	24241	2528	2521	7	0	677	175	82	Other	Other	Illumina
015107535	8383	16457	2276	2270	6	0	852	248	103	Other	Other	Illumina
015107555	11600	26382	2601	2590	9	2	648	135	86	Other	Other	Illumina
015107575	9181	18482	2422	2413	8	1	761	201	79	Other	Other	Illumina
015107595	7433	14108	2186	2183	3	0	955	240	92	Other	Other	Illumina
015107615	7420	15487	2215	2206	9	0	927	242	143	Other	Other	Illumina
015107635	7847	17497	2354	2342	11	1	796	223	95	Other	Other	Illumina
015107655	10032	22631	2514	2506	8	0	695	170	140	Other	Other	Illumina
015107675	7862	18230	2307	2296	11	0	870	203	98	Other	Other	Illumina
015107695	6501	20068	2394	2386	8	0	776	203	200	Other	Other	Illumina
015107715	8530	18818	2348	2342	6	0	857	176	74	Other	Other	Illumina
015107735	9726	21430	2520	2510	9	1	684	176	124	Other	Other	Illumina
015107755	10857	25551	2604	2597	6	1	644	134	116	Other	Other	Illumina
015107775	6007	18023	2262	2250	12	0	867	242	229	Other	Other	Illumina
015107795	13552	29705	2618	2608	7	3	636	127	63	Other	Other	Illumina
015107815	7342	14228	2229	2220	9	0	876	267	116	Other	Other	Illumina
015107835	5492	14233	2228	2217	10	1	887	261	193	Other	Other	Illumina
015107855	11244	20629	2475	2467	7	1	733	174	76	Other	Other	Illumina
015107875	5584	14205	2207	2201	5	1	906	261	157	Other	Other	Illumina
015107895	13348	24150	2543	2535	8	0	686	152	53	Other	Other	Illumina
015107915	9160	20515	2474	2464	10	0	727	179	133	Other	Other	Illumina
015107935	10262	23650	2570	2560	10	0	655	155	123	Other	Other	Illumina
015107955	11305	25001	2555	2546	9	0	686	139	73	Other	Other	Illumina
015107975	8685	17998	2352	2342	10	0	838	194	102	Other	Other	Illumina
015107995	6870	12144	2041	2032	9	0	948	385	104	Other	Other	Illumina
015108015	6577	17728	2336	2327	9	0	820	221	196	Other	Other	Illumina
015108035	8500	18952	2384	2373	10	1	818	180	102	Other	Other	Illumina
015108055	6097	14879	2148	2141	6	1	953	272	185	Other	Other	Illumina
015108065	9810	20085	2410	2398	11	1	757	213	104	Other	Other	Illumina
015108095	6846	20166	2392	2383	9	0	788	195	176	Other	Other	Illumina
015108115	6989	16857	2342	2330	12	0	799	235	165	Other	Other	Illumina
015108135	8475	18827	2397	2386	11	0	769	210	145	Other	Other	Illumina
015108155	9440	21263	2452	2435	15	2	713	212	113	Other	Other	Illumina
015108175	10380	26672	2533	2524	8	1	695	154	55	Other	Other	Illumina
015108195	8522	24065	2486	2481	4	1	717	176	72	Other	Other	Illumina
015108215	8808	20695	2419	2406	13	0	752	214	106	Other	Other	Illumina
015108235	7714	18931	2388	2381	7	0	779	212	160	Other	Other	Illumina
015108255	9033	20079	2443	2434	9	0	717	215	123	Other	Other	Illumina
015108275	10314	21865	2459	2452	7	0	708	212	88	Other	Other	Illumina
015108295	7831	19117	2389	2379	10	0	775	217	191	Other	Other	Illumina
015108315	8316	19532	2393	2384	9	0	766	221	137	Other	Other	Illumina
015108335	8646	20188	2399	2390	9	0	757	221	176	Other	Other	Illumina
015108355	9004	20899	2452	2440	11	1	716	212	135	Other	Other	Illumina
015108375	5565	12383	2047	2040	7	0	981	343	152	Other	Other	Illumina
015108395	10620	21295	2461	2448	13	0	718	203	67	Other	Other	Illumina
015108415	12811	28898	2655	2647	7	1	599	130	102	Other	Other	Illumina
015108435	7160	20723	2424	2408	16	0	778	180	163	Other	Other	Illumina
015108455	8751	17060	2352	2342	10	0	809	218	74	Other	Other	Illumina
015108475	9655	19351	2458	2450	8	0	763	161	96	Other	Other	Illumina
015108495	8670	17757	2103	2097	4	2	994	275	76	Other	Other	Illumina
015108515	12746	37082	2875	2869	6	0	402	110	70	Other	Other	Illumina
015108535	8861	15934	2332	2322	10	0	833	214	109	Other	Other	Illumina
015108555	12324	29581	2722	2712	10	0	542	119	94	Other	Other	Illumina
015108575	8911	22937	2535	2523	11	1	695	151	91	Other	Other	Illumina
015108585	4450	9619	1838	1833	5	0	1141	390	74	Other	Other	Illumina
015108615	4616	10905	1994	1991	3	0	1093	286	87	Other	Other	Illumina
015108635	6409	25636	2630	2624	4	2	601	151	112	Other	Other	Illumina
015108655	12518	23822	2541	2532	9	0	690	152	65	Other	Other	Illumina
015108675	10339	22215	2511	2503	7	1	681	193	90	Other	Other	Illumina
015108695	10891	19942	2407	2395	12	0	768	208	60	Other	Other	Illumina
015108715	6313	10961	1937	1932	5	0	1069	357	192	Other	Other	Illumina
015108735	7325	14071	2247	2243	4	0	875	254	96	Other	Other	Illumina
015108755	9075	20216	2426	2418	8	0	743	204	148	Other	Other	Illumina
015108775	10198	19308	2422	2409	12	1	750	206	69	Other	Other	Illumina
015108795	7023	13822	2212	2204	7	1	891	275	94	Other	Other	Illumina
015108815	10343	18760	2394	2388	6	0	777	208	79	Other	Other	Illumina
015108835	7381	14372	2241	2236	4	1	890	243	88	Other	Other	Illumina
015108855	7285	17219	2351	2339	12	0	797	232	135	Other	Other	Illumina
015108875	9440	19179	2382	2373	8	1	784	212	119	Other	Other	Illumina
015108895	9945	18980	2411	2403	8	0	774	194	100	Other	Other	Illumina
015108915	8747	19393	2449	2442	6	1	722	209	84	Other	Other	Illumina
015108935	6420	13883	2199	2189	9	1	882	290	112	Other	Other	Illumina
015108955	11113	21254	2485	2472	13	0	721	177	83	Other	Other	Illumina
015108975	7611	15111	2275	2267	8	0	879	223	126	Other	Other	Illumina
015108995	7665	13936	2233	2221	11	1	873	261	121	Other	Other	Illumina
015109015	171967	30159514	3355	3310	10	35	25	9	64	Other	Other	Illumina
015109035	8294	16878	2320	2313	6	1	824	227	78	Other	Other	Illumina
015109055	6316	13623	2170	2162	7	1	929	272	120	Other	Other	Illumina
015109115	6386	17377	2342	2332	10	0	825	214	149	Other	Other	Illumina
015109125	6685	17712	2358	2348	10	0	803	218	144	Other	Other	Illumina
015109155	7918	20781	2441	2430	10	1	765	176	125	Other	Other	Illumina
015109175	6025	18478	2378	2367	10	1	808	191	143	Other	Other	Illumina
015109195	6414	17949	2332	2324	7	1	808	239	178	Other	Other	Illumina
015109215	8895	19226	2428	2421	7	0	733	221	83	Other	Other	Illumina
015109235	6122	18032	2338	2329	9	0	787	251	189	Other	Other	Illumina
015109255	7313	20741	2471	2462	9	0	723	180	148	Other	Other	Illumina
015109275	10743	23898	2574	2563	11	0	659	150	73	Other	Other	Illumina
015109285	6159	18898	2362	2352	9	1	809	207	177	Other	Other	Illumina
015109315	10585	25807	2543	2530	12	1	695	147	117	Other	Other	Illumina
015109335	11455	25762	2578	2567	11	0	661	143	69	Other	Other	Illumina
015109345	6221	15111	2218	2203	15	0	898	262	162	Other	Other	Illumina
015109375	11003	22364	2464	2458	6	0	718	195	86	Other	Other	Illumina
015109395	8821	17384	2345	2332	13	0	849	189	76	Other	Other	Illumina
015109415	5756	14794	2202	2194	8	0	889	279	181	Other	Other	Illumina
015109435	8355	18866	2415	2409	6	0	752	209	119	Other	Other	Illumina
015109455	6009	19082	2320	2312	7	1	821	233	225	Other	Other	Illumina
015109475	8184	18012	2358	2349	8	1	802	218	119	Other	Other	Illumina
015109495	6376	15932	2258	2246	12	0	878	242	175	Other	Other	Illumina
015109515	8818	24631	2521	2506	14	1	686	172	131	Other	Other	Illumina
015109535	7680	22947	2457	2446	11	0	750	176	174	Other	Other	Illumina
015109555	11683	24683	2548	2535	12	1	692	143	86	Other	Other	Illumina
015109575	7972	15634	2306	2293	11	2	861	213	86	Other	Other	Illumina
015109595	7477	16192	2302	2299	3	0	831	237	69	Other	Other	Illumina
015109615	12194	23652	2560	2549	10	1	686	134	63	Other	Other	Illumina
015109635	9751	17596	2386	2372	14	0	802	193	64	Other	Other	Illumina
015109655	9858	19635	2455	2446	9	0	733	195	59	Other	Other	Illumina
015109675	9405	17990	2391	2384	7	0	796	197	86	Other	Other	Illumina
015109695	7181	14253	2246	2237	8	1	888	245	79	Other	Other	Illumina
015109715	11820	27013	2585	2566	18	1	657	143	91	Other	Other	Illumina
015109735	10294	19909	2428	2421	7	0	764	190	80	Other	Other	Illumina
015109755	9849	19833	2420	2410	9	1	762	203	94	Other	Other	Illumina
015109775	9971	19045	2387	2375	12	0	796	200	75	Other	Other	Illumina
015109795	9487	17018	2346	2335	11	0	812	219	70	Other	Other	Illumina
015109815	7918	16499	2318	2311	7	0	850	209	110	Other	Other	Illumina
015109835	6103	15064	2201	2191	10	0	896	271	136	Other	Other	Illumina
015109845	6084	15141	2188	2181	7	0	922	264	163	Other	Other	Illumina
015109875	7930	15567	2311	2299	12	0	868	196	97	Other	Other	Illumina
015109895	5787	15869	2206	2196	10	0	907	264	160	Other	Other	Illumina
015109915	8456	18974	2408	2397	11	0	759	213	127	Other	Other	Illumina
015109935	9147	19261	2402	2391	10	1	779	202	78	Other	Other	Illumina
015109955	8555	16982	2334	2325	9	0	817	229	96	Other	Other	Illumina
015109975	9599	18984	2407	2395	12	0	769	205	78	Other	Other	Illumina
015109995	6752	16987	2297	2287	10	0	860	220	200	Other	Other	Illumina
015110015	8120	18384	2401	2390	11	0	786	199	136	Other	Other	Illumina
015110035	8599	16568	2340	2332	8	0	810	226	84	Other	Other	Illumina
015110055	6531	15115	2233	2224	9	0	881	259	173	Other	Other	Illumina
015110075	10380	21118	2478	2470	6	2	708	191	97	Other	Other	Illumina
015110095	8882	19751	2435	2427	6	2	730	210	131	Other	Other	Illumina
015110115	7565	18245	2349	2338	11	0	816	215	198	Other	Other	Illumina
015110135	12237	23529	2534	2525	9	0	687	159	80	Other	Other	Illumina
015110155	10933	20959	2460	2450	10	0	768	152	114	Other	Other	Illumina
015110175	9552	18245	2356	2347	8	1	822	198	109	Other	Other	Illumina
015110195	7510	16994	2264	2258	6	0	880	230	143	Other	Other	Illumina
015110215	8313	21385	2490	2481	9	0	710	183	166	Other	Other	Illumina
015110235	9258	18799	2462	2452	10	0	748	173	109	Other	Other	Illumina
015110255	4602	10562	1933	1928	4	1	1086	342	156	Other	Other	Illumina
015110275	9756	18314	2415	2407	8	0	760	204	94	Other	Other	Illumina
015110295	7039	16110	2290	2284	6	0	855	234	175	Other	Other	Illumina
015110315	6349	13436	2197	2194	3	0	931	244	106	Other	Other	Illumina
015110335	8431	17921	2393	2383	10	0	802	183	102	Other	Other	Illumina
015110355	3035	5573	1035	1031	4	0	1438	891	137	Other	Other	Illumina
015110375	9784	19884	2436	2422	13	1	745	201	75	Other	Other	Illumina
015110395	9247	16513	2360	2350	9	1	809	212	76	Other	Other	Illumina
015110415	11755	23555	2505	2495	10	0	720	154	70	Other	Other	Illumina
015110435	7721	17505	2322	2314	8	0	837	210	101	Other	Other	Illumina
015110455	12535	24325	2537	2529	7	1	704	140	69	Other	Other	Illumina
015110475	8933	18804	2399	2388	11	0	760	215	121	Other	Other	Illumina
015110495	9213	19757	2407	2397	10	0	752	220	126	Other	Other	Illumina
015110515	9336	20177	2445	2435	10	0	718	208	119	Other	Other	Illumina
015110535	157464	31799652	3352	3303	13	36	29	9	67	Other	Other	Illumina
015110565	149502	39758681	3356	3307	12	37	28	5	64	Other	Other	Illumina
015110605	160713	35859222	3361	3315	12	34	24	4	56	Other	Other	Illumina
015110675	7013	19467	2393	2384	9	0	800	189	141	Other	Other	Illumina
015110695	9126	19568	2391	2381	9	1	796	192	99	Other	Other	Illumina
015110715	6124	15749	2252	2245	7	0	861	267	191	Other	Other	Illumina
015110735	6277	16062	2263	2257	6	0	853	259	186	Other	Other	Illumina
015110755	8799	19870	2403	2397	6	0	756	222	122	Other	Other	Illumina
015110765	8167	16545	2331	2319	12	0	819	232	107	Other	Other	Illumina
015110795	7615	16863	2341	2330	11	0	818	219	112	Other	Other	Illumina
015110815	5470	9927	1835	1831	4	0	1109	428	117	Other	Other	Illumina
015110835	5931	12370	2091	2082	9	0	987	289	90	Other	Other	Illumina
015110855	7293	17455	2355	2345	10	0	784	239	103	Other	Other	Illumina
015110875	7434	18145	2362	2352	10	0	785	229	130	Other	Other	Illumina
015110895	6947	15280	2210	2202	8	0	886	280	112	Other	Other	Illumina
015110915	8220	19069	2367	2355	11	1	778	231	119	Other	Other	Illumina
015110935	5170	9547	1761	1755	6	0	1154	460	126	Other	Other	Illumina
015110955	6012	18906	2306	2294	12	0	849	221	214	Other	Other	Illumina
015110975	8262	19609	2396	2389	5	2	785	192	126	Other	Other	Illumina
015110995	7617	18010	2347	2338	8	1	820	208	111	Other	Other	Illumina
015111015	10521	25241	2529	2520	9	0	693	161	106	Other	Other	Illumina
015111035	10011	24680	2543	2531	11	1	694	146	125	Other	Other	Illumina
015111055	8470	23343	2499	2489	9	1	702	176	111	Other	Other	Illumina
015111075	9441	24119	2552	2544	8	0	690	144	99	Other	Other	Illumina
015111095	8060	15542	2277	2267	10	0	852	247	78	Other	Other	Illumina
015111115	7426	13626	2162	2155	7	0	950	260	84	Other	Other	Illumina
015111135	7047	12599	2115	2104	11	0	992	271	89	Other	Other	Illumina
015111155	7387	17019	2276	2265	11	0	873	230	114	Other	Other	Illumina
015111175	7442	17227	2346	2336	10	0	803	228	126	Other	Other	Illumina
015111195	8554	19089	2367	2358	8	1	809	201	79	Other	Other	Illumina
015111215	5671	15329	2223	2213	10	0	884	270	185	Other	Other	Illumina
015111235	6735	16737	2305	2296	9	0	837	234	154	Other	Other	Illumina
015111255	7009	16984	2308	2295	13	0	844	226	132	Other	Other	Illumina
015111275	6649	16567	2306	2295	11	0	831	241	136	Other	Other	Illumina
015111295	7486	17871	2285	2277	7	1	876	220	120	Other	Other	Illumina
015111315	6031	18722	2303	2297	6	0	833	242	198	Other	Other	Illumina
015111335	6535	16542	2315	2307	8	0	841	224	158	Other	Other	Illumina
015111355	7185	21298	2420	2412	8	0	756	199	132	Other	Other	Illumina
015111365	5549	14569	2245	2236	9	0	882	251	148	Other	Other	Illumina
015111395	6214	16068	2310	2302	8	0	830	237	133	Other	Other	Illumina
015111415	6075	18261	2356	2346	10	0	825	198	174	Other	Other	Illumina
015111435	8547	18197	2334	2324	10	0	844	202	87	Other	Other	Illumina
015111455	7050	20831	2398	2385	12	1	776	199	171	Other	Other	Illumina
015111475	9083	20210	2399	2393	6	0	782	196	81	Other	Other	Illumina
015111495	9199	21477	2469	2461	8	0	732	180	87	Other	Other	Illumina
015111515	8114	19252	2394	2384	10	0	786	202	108	Other	Other	Illumina
015111535	7649	18769	2296	2288	8	0	865	215	124	Other	Other	Illumina
015111555	5868	11684	2008	2003	3	2	1064	302	115	Other	Other	Illumina
015111575	7626	18519	2303	2297	5	1	862	214	119	Other	Other	Illumina
015111595	6506	13384	2105	2093	8	4	988	283	120	Other	Other	Illumina
015111615	7544	16381	2318	2309	9	0	834	227	90	Other	Other	Illumina
015111635	6646	15211	2254	2247	7	0	863	261	113	Other	Other	Illumina
015111655	7785	18065	2346	2334	12	0	807	223	126	Other	Other	Illumina
015111675	6217	14322	2190	2182	8	0	908	273	117	Other	Other	Illumina
015111695	7461	16348	2313	2303	10	0	822	240	100	Other	Other	Illumina
015111715	6823	14471	2272	2264	7	1	847	257	104	Other	Other	Illumina
015111735	6009	15817	2250	2241	9	0	880	248	181	Other	Other	Illumina
015111745	7315	15022	2294	2286	8	0	843	244	84	Other	Other	Illumina
015111775	8849	18888	2409	2398	11	0	748	219	104	Other	Other	Illumina
015111795	7219	14819	0	0	0	0	0	3390	1	Other	Other	Illumina
015111815	7703	16824	2327	2322	5	0	840	210	122	Other	Other	Illumina
015111835	7668	22297	2443	2436	6	1	734	198	131	Other	Other	Illumina
015111855	6571	15811	2286	2276	9	1	867	226	131	Other	Other	Illumina
015111875	7273	18594	2342	2335	6	1	780	249	153	Other	Other	Illumina
015111895	8303	17786	2393	2384	8	1	779	206	104	Other	Other	Illumina
015111915	8359	17499	2373	2365	7	1	815	194	91	Other	Other	Illumina
015111935	8132	17310	2418	2408	10	0	758	203	86	Other	Other	Illumina
015111955	7682	15101	2236	2230	6	0	877	261	79	Other	Other	Illumina
015111975	8312	17923	2428	2420	8	0	753	194	80	Other	Other	Illumina
015111995	5576	13945	2190	2179	11	0	918	267	118	Other	Other	Illumina
015112015	7013	14943	2230	2223	7	0	875	271	111	Other	Other	Illumina
